Eng,Ja
selection, 選択
print, 印刷
rate, 割合
vessel, 容器
swim, 泳ぎ
mountain, 山
frame, 骨組み
road, 道筋
already, すでに
bucket, バケツ
have, 持っている
belief, 印象
whistle, 口笛
degree, レベル
trick, いたずら
able, 可能な
balance, バランスをとる
red, 赤い
soap, せっけん
hope, 実現させたいと願う
land, 土地
food, 食べ物
trouble, 故障
respect, 尊敬
fly, 飛ぶ
dear, 親愛な
drawer, 引き出し
brother, 兄
top, てっぺん
as, 同じように
special, 特別の
political, 政治的な
future, 未来の形容詞】
deep, 深い
stretch, 伸張
opposite, 向かい合わせの
band, しばるもの
waiting, 待ち時間
cut, カットされた
heart, こころ
complete, 完全な
cow, 牛
cold, 冷たい
danger, リスク
weather, 天気
girl, 令嬢
feeling, 感じ
religion, 信仰
new, 新しい
grain, 穀物
help, 助ける
flat, フラット
discussion, 話し合い
expert, 専門家
journey, 旅行
world, 世界
salt, 塩
condition, 条件
cry, めそめそする
around, 周りに
rest, 休む
stomach, 胃
mind, 気持ち
cruel, 無情な
sudden, 急激
protest, 断言する
desire, 欲しがる
bit, かけら
brown, 茶色い
talk, 話す
such, こんな
wash, 洗う
line, 線
debt, 負債
together, 同時に
wave, 波
wall, カベ
heat, 暖める
nose, 鼻
hand, 手
other, ほかの
mobile, モバイル
increase, 増やす
equal, 等しい
private, 秘密の
awake, 覚めた
attention, 注意
hook, 鉤
knife, ナイフ
weight, 重さ
angry, 怒った
ear, 耳
snake, ヘビ
cultivate, 耕す
card, カード
touch, タッチ
town, 町
camera, カメラ
play, 遊ぶ
sign, 記号
guide, 案内する
nerve, 神経
chemical, 化学的な
army, 軍団
ray, 光線
left, 左の
shame, 恥
dirty, 汚れた
mist, 霧
boiling, 煮えた
pin, ピン
time, 時
same, 同じ
brush, ブラシ
wood, 樹木
decision, 判断
step, 段
committee, コミッティ
bad, ひどい
woman, 女性
lift, 持ち上げる
because, なぜなら
measure, 計測する
slope, 傾ける
there, そこに
living, 生きている
some, いくつかの
prose, 散文
pen, ペン
humor, ユーモア
between, 中間に
paper, 紙
edge, 刃
regular, 普通の
long, 長い
acid, すっぱい
and, ～と
page, ページ
ready, 準備のできた
operation, 運転
nation, 国家
face, 顔
flower, 花を咲かす
foot, 足
angle, 角度
go, 行く
noise, 騒ぐ
secretary, 事務官
teaching, 教え
medical, 医療
egg, 卵
meal, 食事
money, 硬貨
thing, モノ
sneeze, くしゃみをする
then, それから
false, 間違った
music, ミュージック
violent, 暴力的
make, 作る
story, 物語
sense, 感覚
hate, うらむ
amount, 量
credit, 信用
milk, 牛乳
shirt, シャツ
record, レコード
move, 動く
after, ～の後に
thumb, おやゆび
chief, 主要な
wide, 幅広い
poison, 毒
bent, まがった
push, 押す
wind, 風
very, とても
tooth, 歯
country, 国家
in, 中に
key, 鍵
narrow, せまい
different, 変わった
friend, 友達
attack, 攻める
taste, 味覚
where, 場所
disgust, 吐き気を催させる
garden, 庭いじりをする
art, 芸術
information, 情報
out, 外に
match, 試合
place, 場所
test, テスト
elastic, 弾力のある
science, 科学
owner, 持主
over, 上の方に
smile, ほほ笑む
every, あらゆる
happy, しあわせな
yellow, 黄色い
cloud, 雲
through, から
wing, つばさ
plant, 植物
open, 開いた
reward, 報いる
kettle, 湯わかし
whip, むち打ち
hour, 時間
monkey, さる
all, すべて
male, 男性
statement, 述べる
hearing, 聞くこと
do, する
burn, 燃す
effect, 結果
insect, 虫
muscle, 筋肉
machine, 機械
thought, 思索
property, 所有物
well, よく
umbrella, かさ
fear, 恐怖
boat, 小船
say, 言う
how, 方法
from, ～から
when, 時期
great, 偉大な
government, 統治すること
plate, 平皿
rain, 雨が降る
behaviour, 行儀
harbor, 港
grass, 芝生
stocking, ストッキング
shoe, くつ
breath, 呼吸
feather, 羽
son, 息子
pipe, パイプ
existence, 存在
library, ライブラリ
experience, 経験
will, するつもりだ
comb, クシ
jewel, 宝石
blood, 血液
worm, 虫
before, 先に
fiction, 作り話
morning, 朝
mark, 目印
scissors, はさみ
parcel, 小包
window, ウィンドウ
support, 支える
bag, ふくろ
parallel, 平行な
water, 水
powder, 粉
picture, 絵
tax, 課税
leg, 脚
station, 駅
question, 問いただす
bone, 骨
berry, ベリー
pleasure, 喜び
tomorrow, あす
account, 説明
table, テーブル
approval, 賛成
near, ほぼ
send, 送る
bottle, ビン
limit, 制約
thread, 糸
may, してもいい
again, さらに
punishment, 処罰
rice, おコメ
till, ～まで
education, 教育
drink, 飲む
current, 流れ
offer, 提供する
attempt, 試みる
data, データ
part, ある程度
earth, 地球
loose, なまけた
reading, 読み取り
join, 交わる
yes, 肯定的な返答
society, 世界
hair, 毛
sound, 鳴る
eye, 目
note, 記録
roof, 屋根
bright, 明々と
now, 今
driving, 運転
basin, 洗面器
lead, 導く
power, 力
silk, 絹糸
attraction, 魅力
screw, ねじる
summer, 夏
past, 通り越して
copy, コピー
shade, 影
shock, ショック
work, 労働
ink, インク
sail, 帆
coat, コート
still, 静かな
change, 変質
natural, 自然な
so, 現に
needle, はり
good, 良い
off, ～から離れて
glass, ガラス
strong, 力強い
cause, 原因
color, 色合い
though, だが
exchange, 取り替える
law, 法律
distance, 引き離す
man, 人間
pain, 痛み
jelly, ゼリー化する
cart, カート
force, 勢い
way, 道
doubt, 怪しむ
walk, 歩く
stiff, こわばった
responsible, 責任がある
healthy, 健康な
chin, アゴ
probable, ありそうな
ring, 鳴り響く
animal, 動物
group, 集まり
jump, 跳躍する
person, 個人
produce, 生産する
sea, 海
international, 国際的な
plane, 平ら
net, ネット
chance, 賭け
come, 訪れる
ever, つねに
gold, 黄金
flight, 飛行
damage, そこなう
competition, 競争
cook, 炊事する
west, 西
bee, 蜂
pig, ぶた
cord, ひも
sun, 太陽
dry, 乾いた
opinion, 意見
foolish, おろかな
idea, 着想
stitch, ぬい合わせる
organization, 設立
conscious, 気づいて
give, あたえる
certain, 確かな
north, 北
point, 点
collar, エリ
here, ここに
lock, かぎ
suggestion, 提案
bite, かみつく
short, 短い
liquid, 液体
paint, 色つけ
for, ～のために
train, 列車
motion, 動き
fertile, 肥えた
light, 明るい
skirt, スカート
serious, まじめな
why, 理由
low, 低い
get, 受け取る
potato, ジャガイモ
late, 遅れた
surprise, 驚き
iron, 鉄
accordingto, ～によれば
ill, 不完全な
pump, 注入する
pull, 引っぱる
error, 間違い
cup, コップ
enough, 十分
request, 要求
last, 臨終の
thick, 濃い
star, 星
wise, かしこい才
full, いっぱいの
regret, 惜しむ
end, 終える
door, 扉
down, 下に
wheel, 車輪
material, 実質的
general, 世間一般の
against, 反抗して
night, 夜
authority, 権威
boot, ブーツ
dead, 枯れた
reason, 推論
space, スペース
scale, 目盛り
crack, ひびわれる
hard, 必死に
level, 水平になる
payment, 入金
family, 家族
tree, 木
arch, カーブ
wine, ワイン
rough, 荒い
small, 小さい
office, オフィス
brake, 歯止め
division, 分割
hat, 帽子
mouth, 口
side, 片面
agreement, 協定
detail, 詳しく述べる
only, ただひとり
snow, 雪が降る
thunder, 雷
hanging, つりさげ
sex, 性別
hole, 穴
trousers, ズボン
possible, ありうる
impulse, 衝動
among, ～の間に
sharp, するどい
laugh, 笑う
argument, 議論
brain, 頭脳
into, (入った)中に
company, 付添い
tight, 窮屈な
turn, 回転させる
fish, 魚
wire, 針金
word, 言葉
form, 形姿
knee, ひざ
memory, 記憶
circle, 一回り
death, 絶命
steel, 鋼鉄
farm, 農場
war, 戦争
disease, 不快な状態
forward, 前に
control, 制御する
round, まるい
twist, ひねる
far, はるかに
boy, 男の子
old, 古い
blow, 吹く
up, 上方へ
news, ニュース
tail, 尻尾
peace, 和平
flag, 旗
neck, 首
almost, ほぼ
fall, 落ちる
store, 商店
dog, 犬
while, 期間
throat, のど
oven, 天火
winter, 冬
public, パブリック
seem, 見える
dust, 散らかす
nuts, 木の実
unit, 単一体
spade, スペード
clean, きれいな
smash, 打ち付ける
chest, むね
square, 四角
history, 歴史
hammer, ハンマー
kick, 蹴り
business, シゴト
reaction, 反応
cushion, クッション
apple, リンゴ
quite, すっかり
be, ある
bitter, 苦い
connection, 結びつき
crime, 犯罪
development, 発展
mass, 大きな塊
yesterday, 昨日
simple, シンプルな
song, 歌
look, 見える
true, 正確な
sock, ぶん殴る
slip, すべる
arm, 武装
clear, 明るい
amusement, 楽しみ
normal, 正常な
free, 自由な
horn, 角
school, 学校
day, 昼間
daughter, 娘
judge, 判断する
advertisement, アド
ant, アリ
rod, 棒
tongue, 舌
flame, 火炎
military, 軍事的な
growth, 成長
tin, スズ
green, 緑色の
little, わずか
wax, ロウ
gray, 灰色の
tray, お盆
waste, 浪費する
love, 愛情
structure, 構造
bed, ベッド
purpose, 目的
bird, 鳥
stop, ストップ
sheep, ヒツジ
early, 早い
house, 家
common, 共通の
metal, メタリック
hollow, 空っぽな
branch, 枝
across, 横切った
list, 挙げる
mine, 私の
nail, つめ
no, いいえ
dark, 暗い
bell, ベル
wool, 羊毛
tall, 高い
blue, 青い
roll, 転がる
cheap, 安上がりな
hospital, 病院
letter, 便り
economic, 経済
at, ～に
wrong, 不正確な
smell, においがする
horse, 馬
minute, 分
soup, スープ
order, 配列
quality, 品質
mixed, まざった
drain, 排水路
dress, 衣服
event, できごと
take, 取る
knot, 結ぶ
week, 週
box, 箱
shelf, 棚
answer, 答える
on, うえに
rub, こする
warm, 暖める
verse, 詩節
bulb, 球状のもの
process, 過程
chain, くさり
oil, オイル
tired, 疲れた
year, 年
cloth, 生地
south, 南
system, システム
crush, 壊れる
sticky, 粘っこい
expansion, 引き伸ばし
fact, 事実
orange, オレンジがかった
wet, ぬれた
front, 正面
sponge, スポンジ
secret, 秘密の
rail, 横木
physical, 物理的
rat, ネズミ
if, もしも
trade, 交換
head, アタマ
fixed, 固定した
frequent, よくある
sort, 分類する
sister, 姉妹
kiss, くちづけ
insurance, 保険
cheese, チーズ名詞】
spoon, スプーン
basket, かご
