Eng,Ja
power, 力
shame, 恥
spring, 春
insect, 虫
crush, 壊れる
fowl, 家禽
about, ～について
send, 送る
laugh, 笑う
net, ネット
prison, 牢屋
observation, 観測
jelly, ゼリー化する
at, ～に
copy, コピー
science, 科学
elastic, 弾力のある
push, 押す
sharp, するどい
thing, モノ
part, ある程度
payment, 入金
flag, 旗
blue, 青い
slip, すべる
iron, 鉄
nose, 鼻
foot, 足
dress, 衣服
profit, 得する
button, ボタン
week, 週
left, 左の
driving, 運転
help, 助ける
dirty, 汚れた
arch, カーブ
attack, 攻める
clear, 明るい
cord, ひも
idea, 着想
simple, シンプルな
basin, 洗面器
stamp, スタンプ
love, 愛情
advertisement, アド
steam, 蒸す
smell, においがする
bee, 蜂
sad, 残念な
throat, のど
song, 歌
meeting, 集まり
addition, 付け足し
between, 中間に
price, 価格
harmony, 調和
floor, 床
card, カード
brush, ブラシ
shelf, 棚
humor, ユーモア
while, 期間
talk, 話す
knowledge, 知識
quality, 品質
cushion, クッション
sea, 海
wheel, 車輪
put, 置く
list, 挙げる
take, 取る
needle, はり
salt, 塩
worm, 虫
bulb, 球状のもの
awake, 覚めた
much, ほぼ
agreement, 協定
top, てっぺん
blood, 血液
prose, 散文
cart, カート
glove, 手袋
money, 硬貨
across, 横切った
great, 偉大な
rest, 休む
example, 見本
mountain, 山
window, ウィンドウ
black, 黒い
doubt, 怪しむ
general, 世間一般の
soap, せっけん
forward, 前に
condition, 条件
cruel, 無情な
red, 赤い
complete, 完全な
hair, 毛
stiff, こわばった
plane, 平ら
other, ほかの
order, 配列
second, 第2に
get, 受け取る
mind, 気持ち
say, 言う
operation, 運転
quite, すっかり
scale, 目盛り
accordingto, ～によれば
already, すでに
please, 喜ばせる
arm, 武装
screw, ねじる
month, 月
medical, 医療
pot, つぼ
young, 若い
box, 箱
frequent, よくある
control, 制御する
deep, 深い
bell, ベル
parallel, 平行な
there, そこに
regret, 惜しむ
drop, しずく
boat, 小船
complex, 複雑な
education, 教育
work, 労働
loud, うるさい
as, 同じように
ear, 耳
possible, ありうる
water, 水
end, 終える
disgust, 吐き気を催させる
test, テスト
animal, 動物
act, 行動する
female, 牝
flat, フラット
bag, ふくろ
sticky, 粘っこい
smoke, 煙を出す
down, 下に
mouth, 口
market, 市場
selection, 選択
theory, 理論
married, 結婚している
office, オフィス
question, 問いただす
tight, 窮屈な
spade, スペード
bed, ベッド
acid, すっぱい
board, 板
physical, 物理的
book, 本
print, 印刷
beautiful, 美しい
carriage, 乗り物
rice, おコメ
collar, エリ
will, するつもりだ
authority, 権威
off, ～から離れて
warm, 暖める
lip, くちびる
past, 通り越して
attempt, 試みる
special, 特別の
thunder, 雷
statement, 述べる
long, 長い
give, あたえる
rough, 荒い
violent, 暴力的
also, もまた
