Eng,Ja
prison, 牢屋
awake, 覚めた
committee, コミッティ
blood, 血液
sheep, ヒツジ
bite, かみつく
far, はるかに
exchange, 取り替える
but, しかし
horn, 角
dog, 犬
snow, 雪が降る
hollow, 空っぽな
pocket, 懐中
also, もまた
normal, 正常な
science, 科学
transport, 運輸
stamp, スタンプ
existence, 存在
how, 方法
market, 市場
over, 上の方に
work, 労働
mixed, まざった
square, 四角
as, 同じように
coat, コート
harbor, 港
ray, 光線
board, 板
word, 言葉
breath, 呼吸
high, 高い
black, 黒い
hair, 毛
will, するつもりだ
person, 個人
position, 場所
driving, 運転
insect, 虫
protest, 断言する
tired, 疲れた
watch, 時計
plate, 平皿
acid, すっぱい
hammer, ハンマー
addition, 付け足し
chain, くさり
international, 国際的な
strong, 力強い
door, 扉
cord, ひも
electric, 電気の
strange, 奇妙な
business, シゴト
education, 教育
liquid, 液体
wax, ロウ
dry, 乾いた
slope, 傾ける
ear, 耳
run, 走る
sponge, スポンジ
ship, 船
narrow, せまい
burn, 燃す
love, 愛情
poison, 毒
power, 力
seed, たね
secret, 秘密の
taste, 味覚
group, 集まり
steel, 鋼鉄
fat, 太った
much, ほぼ
after, ～の後に
of, ～の
journey, 旅行
rate, 割合
from, ～から
representative, 代表する
still, 静かな
punishment, 処罰
store, 商店
flame, 火炎
surprise, 驚き
ink, インク
join, 交わる
west, 西
ticket, チケット
year, 年
boiling, 煮えた
social, 社会
street, ストリート
wet, ぬれた
pencil, 鉛筆
sharp, するどい
degree, レベル
nerve, 神経
spade, スペード
into, (入った)中に
baby, ベビー
time, 時
birth, 生みだす
road, 道筋
long, 長い
sweet, 優しい
complete, 完全な
trousers, ズボン
manager, 管理職
art, 芸術
take, 取る
serious, まじめな
attraction, 魅力
rat, ネズミ
stomach, 胃
distribution, 配布
accordingto, ～によれば
happy, しあわせな
wood, 樹木
broken, 壊れた
view, 視野
safe, 安全な
wind, 風
cow, 牛
bridge, 橋
such, こんな
laugh, 笑う
invention, 考案
event, できごと
arm, 武装
go, 行く
sleep, 眠る
milk, 牛乳
sticky, 粘っこい
weight, 重さ
weather, 天気
about, ～について
living, 生きている
air, 空気
blue, 青い
every, あらゆる
wing, つばさ
turn, 回転させる
curve, 曲がる
stitch, ぬい合わせる
fight, ファイト
knowledge, 知識
mist, 霧
roll, 転がる
morning, 朝
sneeze, くしゃみをする
judge, 判断する
copper, 銅
brain, 頭脳
bag, ふくろ
reward, 報いる
fruit, くだもの
mind, 気持ち
left, 左の
house, 家
loose, なまけた
discussion, 話し合い
authority, 権威
jewel, 宝石
crush, 壊れる
rice, おコメ
stop, ストップ
seat, 着席させる
belief, 印象
bone, 骨
world, 世界
true, 正確な
stocking, ストッキング
spring, 春
forward, 前に
account, 説明
vessel, 容器
drink, 飲む
ice, 氷
smash, 打ち付ける
up, 上方へ
danger, リスク
cloud, 雲
parcel, 小包
voice, 声
wash, 洗う
selection, 選択
music, ミュージック
cry, めそめそする
decision, 判断
moon, 月
look, 見える
so, 現に
thread, 糸
button, ボタン
