Eng,Ja
plane, 平ら
straight, まっすぐな
selection, 選択
pot, つぼ
size, サイズ
decision, 判断
weather, 天気
complete, 完全な
property, 所有物
dog, 犬
short, 短い
about, ～について
relation, 結付き
friend, 友達
horse, 馬
army, 軍団
take, 取る
crack, ひびわれる
shame, 恥
owner, 持主
leg, 脚
middle, 中位
equal, 等しい
any, なんらか
gold, 黄金
knife, ナイフ
branch, 枝
rate, 割合
wind, 風
test, テスト
sense, 感覚
no, いいえ
fire, 焼く
steam, 蒸す
bed, ベッド
front, 正面
guide, 案内する
pleasure, 喜び
science, 科学
feeling, 感じ
prison, 牢屋
boat, 小船
suggestion, 提案
throat, のど
in, 中に
organization, 設立
wool, 羊毛
bite, かみつく
drain, 排水路
question, 問いただす
box, 箱
new, 新しい
needle, はり
material, 実質的
arm, 武装
wise, かしこい才
enough, 十分
tail, 尻尾
bird, 鳥
of, ～の
lip, くちびる
thing, モノ
burn, 燃す
trouble, 故障
train, 列車
flat, フラット
surprise, 驚き
brother, 兄
early, 早い
simple, シンプルな
amusement, 楽しみ
rat, ネズミ
flame, 火炎
against, 反抗して
under, ～の下に
brown, 茶色い
teaching, 教え
regular, 普通の
history, 歴史
business, シゴト
daughter, 娘
rough, 荒い
secret, 秘密の
girl, 令嬢
sun, 太陽
scale, 目盛り
also, もまた
increase, 増やす
at, ～に
smooth, なめらかな
event, できごと
light, 明るい
fight, ファイト
much, ほぼ
because, なぜなら
comb, クシ
same, 同じ
run, 走る
far, はるかに
circle, 一回り
level, 水平になる
seat, 着席させる
record, レコード
keep, 保つ
rail, 横木
bulb, 球状のもの
very, とても
slope, 傾ける
powder, 粉
curtain, カーテン
power, 力
sheep, ヒツジ
wet, ぬれた
sail, 帆
wood, 樹木
current, 流れ
laugh, 笑う
law, 法律
dirty, 汚れた
pull, 引っぱる
spoon, スプーン
normal, 正常な
paste, 貼りつける
farm, 農場
connection, 結びつき
scissors, はさみ
south, 南
for, ～のために
stamp, スタンプ
male, 男性
mass, 大きな塊
certain, 確かな
harmony, 調和
transport, 運輸
special, 特別の
cover, おおう
knee, ひざ
public, パブリック
oil, オイル
shoe, くつ
road, 道筋
porter, 運搬人
control, 制御する
operation, 運転
bottle, ビン
support, 支える
food, 食べ物
all, すべて
horn, 角
stitch, ぬい合わせる
basin, 洗面器
ill, 不完全な
design, 計画
bath, 入浴
west, 西
moon, 月
school, 学校
street, ストリート
disgust, 吐き気を催させる
motion, 動き
order, 配列
ever, つねに
system, システム
year, 年
journey, 旅行
than, ～よりも
form, 形姿
hair, 毛
roof, 屋根
part, ある程度
through, から
fertile, 肥えた
match, 試合
tongue, 舌
rub, こする
sort, 分類する
important, 重要な
soft, 柔らかな
adjustment, 手直し
attraction, 魅力
bell, ベル
grass, 芝生
jewel, 宝石
chin, アゴ
step, 段
danger, リスク
feeble, 弱々しい
offer, 提供する
purpose, 目的
with, いっしょに
tall, 高い
hammer, ハンマー
top, てっぺん
noise, 騒ぐ
wave, 波
get, 受け取る
social, 社会
learning, 修得
cloth, 生地
reading, 読み取り
red, 赤い
meal, 食事
blood, 血液
general, 世間一般の
natural, 自然な
nation, 国家
hand, 手
person, 個人
from, ～から
committee, コミッティ
soap, せっけん
