Eng,Ja
kettle, 湯わかし
reward, 報いる
degree, レベル
waiting, 待ち時間
drink, 飲む
tree, 木
soup, スープ
stiff, こわばった
map, 地図
clean, きれいな
mine, 私の
conscious, 気づいて
bite, かみつく
angry, 怒った
value, 価値
see, 見る
new, 新しい
ready, 準備のできた
twist, ひねる
name, 名前
letter, 便り
property, 所有物
approval, 賛成
self, 自分
station, 駅
drain, 排水路
knowledge, 知識
event, できごと
body, 本体
tendency, 傾向
chest, むね
cow, 牛
suggestion, 提案
amusement, 楽しみ
face, 顔
minute, 分
at, ～に
goat, 山羊
on, うえに
art, 芸術
reaction, 反応
baby, ベビー
star, 星
powder, 粉
pin, ピン
may, してもいい
or, または
about, ～について
song, 歌
judge, 判断する
bottle, ビン
hate, うらむ
rub, こする
curve, 曲がる
transport, 運輸
short, 短い
out, 外に
need, 動機
silver, 銀
wide, 幅広い
tomorrow, あす
crack, ひびわれる
box, 箱
position, 場所
slope, 傾ける
place, 場所
parcel, 小包
comb, クシ
knot, 結ぶ
wet, ぬれた
step, 段
smoke, 煙を出す
train, 列車
stitch, ぬい合わせる
plant, 植物
example, 見本
kick, 蹴り
circle, 一回り
point, 点
development, 発展
shut, 閉じた
wise, かしこい才
winter, 冬
boot, ブーツ
love, 愛情
reason, 推論
flame, 火炎
salt, 塩
like, 同じような
floor, 床
past, 通り越して
army, 軍団
send, 送る
direction, 舵取り
silk, 絹糸
normal, 正常な
serious, まじめな
picture, 絵
south, 南
off, ～から離れて
desire, 欲しがる
secretary, 事務官
rail, 横木
burn, 燃す
when, 時期
church, 教会
end, 終える
meat, 肉
word, 言葉
change, 変質
space, スペース
separate, 分かれた
sweet, 優しい
secret, 秘密の
size, サイズ
cover, おおう
fight, ファイト
cruel, 無情な
bit, かけら
as, 同じように
pocket, 懐中
why, 理由
authority, 権威
top, てっぺん
material, 実質的
bath, 入浴
fiction, 作り話
give, あたえる
left, 左の
rice, おコメ
disease, 不快な状態
up, 上方へ
skirt, スカート
sail, 帆
broken, 壊れた
sea, 海
wire, 針金
stop, ストップ
discussion, 話し合い
look, 見える
very, とても
substance, 物質
moon, 月
payment, 入金
clock, 計時
care, 整備
still, 静かな
bent, まがった
all, すべて
manager, 管理職
music, ミュージック
long, 長い
pig, ぶた
even, 均等な
responsible, 責任がある
regular, 普通の
ornament, 装飾
man, 人間
argument, 議論
sneeze, くしゃみをする
foot, 足
finger, 指
view, 視野
religion, 信仰
ever, つねに
start, 開始
food, 食べ物
umbrella, かさ
play, 遊ぶ
hearing, 聞くこと
peace, 和平
rat, ネズミ
society, 世界
summer, 夏
ship, 船
cold, 冷たい
division, 分割
brown, 茶色い
cotton, 綿
sign, 記号
arch, カーブ
net, ネット
shoe, くつ
school, 学校
watch, 時計
blood, 血液
while, 期間
number, 数
river, 川
brain, 頭脳
parallel, 平行な
hour, 時間
crime, 犯罪
sad, 残念な
breath, 呼吸
structure, 構造
awake, 覚めた
library, ライブラリ
pen, ペン
war, 戦争
simple, シンプルな
pump, 注入する
farm, 農場
knife, ナイフ
servant, 使用人
if, もしも
fruit, くだもの
data, データ
friend, 友達
walk, 歩く
before, 先に
be, ある
impulse, 衝動
tooth, 歯
nose, 鼻
room, 部屋
over, 上の方に
worm, 虫
fact, 事実
carriage, 乗り物
down, 下に
arm, 武装
any, なんらか
drop, しずく
hollow, 空っぽな
healthy, 健康な
part, ある程度
straight, まっすぐな
cloud, 雲
married, 結婚している
list, 挙げる
horse, 馬
organization, 設立
heart, こころ
hand, 手
ball, 球
shame, 恥
cord, ひも
law, 法律
debt, 負債
stone, 石
note, 記録
morning, 朝
with, いっしょに
wood, 樹木
effect, 結果
shade, 影
daughter, 娘
dirty, 汚れた
but, しかし
forward, 前に
book, 本
egg, 卵
kiss, くちづけ
paint, 色つけ
doubt, 怪しむ
protest, 断言する
branch, 枝
discovery, 発見
stage, 区間
group, 集まり
dust, 散らかす
near, ほぼ
bed, ベッド
full, いっぱいの
some, いくつかの
shake, 振る
dog, 犬
night, 夜
brake, 歯止め
horn, 角
nation, 国家
west, 西
cart, カート
solid, 固体の
drawer, 引き出し
financial, 財務上の
mass, 大きな塊
adjustment, 手直し
push, 押す
international, 国際的な
motion, 動き
mountain, 山
get, 受け取る
thick, 濃い
attack, 攻める
against, 反抗して
free, 自由な
belief, 印象
wing, つばさ
behaviour, 行儀
system, システム
strong, 力強い
second, 第2に
invention, 考案
nuts, 木の実
condition, 条件
stomach, 胃
learning, 修得
stick, ステッキ
please, 喜ばせる
blade, 刃物
coat, コート
flag, 旗
hanging, つりさげ
monkey, さる
death, 絶命
oil, オイル
insurance, 保険
little, わずか
journey, 旅行
here, ここに
chemical, 化学的な
harbor, 港
answer, 答える
cut, カットされた
bulb, 球状のもの
different, 変わった
wheel, 車輪
road, 道筋
plane, 平ら
support, 支える
fish, 魚
camera, カメラ
great, 偉大な
after, ～の後に
strange, 奇妙な
necessary, 必然的
door, 扉
feeling, 感じ
nail, つめ
fire, 焼く
government, 統治すること
expert, 専門家
shock, ショック
young, 若い
talk, 話す
glove, 手袋
foolish, おろかな
yellow, 黄色い
middle, 中位
put, 置く
sock, ぶん殴る
tail, 尻尾
seat, 着席させる
thunder, 雷
tax, 課税
cultivate, 耕す
milk, 牛乳
industry, 産業
idea, 着想
eye, 目
head, アタマ
pencil, 鉛筆
soft, 柔らかな
because, なぜなら
window, ウィンドウ
white, 白い
cat, ネコ
bee, 蜂
air, 空気
deep, 深い
trousers, ズボン
son, 息子
science, 科学
chance, 賭け
chief, 主要な
jewel, 宝石
sense, 感覚
competition, 競争
house, 家
cry, めそめそする
advertisement, アド
rough, 荒い
mixed, まざった
band, しばるもの
general, 世間一般の
special, 特別の
sponge, スポンジ
distance, 引き離す
prison, 牢屋
respect, 尊敬
agreement, 協定
from, ～から
though, だが
blow, 吹く
muscle, 筋肉
rod, 棒
narrow, せまい
connection, 結びつき
act, 行動する
language, 言語
late, 遅れた
blue, 青い
meeting, 集まり
east, 東
swim, 泳ぎ
hair, 毛
iron, 鉄
land, 土地
bridge, 橋
frequent, よくある
thing, モノ
way, 道
root, 根っこ
attempt, 試みる
brother, 兄
hook, 鉤
basket, かご
mobile, モバイル
good, 良い
sand, 砂
interest, 気晴らし
store, 商店
frame, 骨組み
between, 中間に
tin, スズ
thought, 思索
bad, ひどい
then, それから
tired, 疲れた
insect, 虫
whip, むち打ち
same, 同じ
by, ～のそばで
sharp, するどい
electric, 電気の
wall, カベ
harmony, 調和
line, 線
machine, 機械
market, 市場
liquid, 液体
medical, 医療
question, 問いただす
office, オフィス
island, 島
glass, ガラス
month, 月
complex, 複雑な
force, 勢い
meal, 食事
trouble, 故障
safe, 安全な
leg, 脚
to, ～へ
power, 力
cup, コップ
dead, 枯れた
earth, 地球
old, 古い
weather, 天気
waste, 浪費する
person, 個人
bell, ベル
steel, 鋼鉄
much, ほぼ
there, そこに
money, 硬貨
such, こんな
male, 男性
world, 世界
potato, ジャガイモ
join, 交わる
ink, インク
surprise, 驚き
open, 開いた
country, 国家
statement, 述べる
collar, エリ
comparison, 比較
dependent, 依存した
roll, 転がる
leaf, 葉っぱ
design, 計画
flat, フラット
natural, 自然な
attraction, 魅力
scissors, はさみ
false, 間違った
spade, スペード
and, ～と
yes, 肯定的な返答
living, 生きている
prose, 散文
jelly, ゼリー化する
education, 教育
base, 基礎づける
cause, 原因
probable, ありそうな
work, 労働
only, ただひとり
porter, 運搬人
seem, 見える
cheap, 安上がりな
wine, ワイン
tray, お盆
feeble, 弱々しい
noise, 騒ぐ
fall, 落ちる
representative, 代表する
take, 取る
bag, ふくろ
danger, リスク
ray, 光線
accordingto, ～によれば
berry, ベリー
do, する
right, 正確な
throat, のど
political, 政治的な
page, ページ
seed, たね
credit, 信用
theory, 理論
teaching, 教え
instrument, 器具
happy, しあわせな
till, ～まで
common, 共通の
quite, すっかり
relation, 結付き
unit, 単一体
grass, 芝生
mark, 目印
time, 時
gun, 銃
quick, 素早い
copper, 銅
far, はるかに
reading, 読み取り
grain, 穀物
loss, 敗北
color, 色合い
scale, 目盛り
comfort, 快適
stem, 茎
important, 重要な
nerve, 神経
elastic, 弾力のある
metal, メタリック
bucket, バケツ
trick, いたずら
move, 動く
taste, 味覚
operation, 運転
wax, ロウ
exchange, 取り替える
of, ～の
sticky, 粘っこい
in, 中に
again, さらに
history, 歴史
round, まるい
certain, 確かな
gold, 黄金
no, いいえ
roof, 屋根
rain, 雨が降る
hope, 実現させたいと願う
dry, 乾いた
wind, 風
go, 行く
writing, 作文
how, 方法
girl, 令嬢
father, 父親
touch, タッチ
wash, 洗う
detail, 詳しく述べる
level, 水平になる
expansion, 引き伸ばし
say, 言う
brush, ブラシ
hole, 穴
jump, 跳躍する
plate, 平皿
produce, 生産する
regret, 惜しむ
driving, 運転
receipt, 受取り
fork, フォーク
use, 使う
beautiful, 美しい
cake, ケーキ
selection, 選択
physical, 物理的
pain, 痛み
black, 黒い
skin, ひふ
mind, 気持ち
slip, すべる
soap, せっけん
guide, 案内する
spoon, スプーン
committee, コミッティ
keep, 保つ
rule, ルール
quality, 品質
business, シゴト
pleasure, 喜び
present, 現在の
profit, 得する
fertile, 肥えた
bone, 骨
quiet, 静かな
acid, すっぱい
enough, 十分
orange, オレンジがかった
side, 片面
gray, 灰色の
angle, 角度
almost, ほぼ
yesterday, 昨日
vessel, 容器
boy, 男の子
public, パブリック
red, 赤い
edge, 刃
sheep, ヒツジ
bright, 明々と
brick, ブロック
private, 秘密の
hospital, 病院
disgust, 吐き気を催させる
mother, 母親
well, よく
street, ストリート
dear, 親愛な
thin, 痩せた
mist, 霧
early, 早い
copy, コピー
poor, 貧乏な
decision, 判断
cough, せき
screw, ねじる
smell, においがする
where, 場所
cook, 炊事する
town, 町
every, あらゆる
small, 小さい
sky, 空
water, 水
neck, 首
control, 制御する
thumb, おやゆび
crush, 壊れる
true, 正確な
stretch, 伸張
match, 試合
female, 牝
needle, はり
voice, 声
flower, 花を咲かす
key, 鍵
fly, 飛ぶ
card, カード
front, 正面
smile, ほほ笑む
come, 訪れる
tongue, 舌
table, テーブル
social, 社会
order, 配列
snow, 雪が降る
warm, 暖める
rhythm, リズム
mouth, 口
animal, 動物
sound, 鳴る
family, 家族
military, 軍事的な
complete, 完全な
other, ほかの
tall, 高い
growth, 成長
woman, 女性
punishment, 処罰
paste, 貼りつける
opposite, 向かい合わせの
shirt, シャツ
experience, 経験
run, 走る
amount, 量
laugh, 笑う
kind, 親切な
president, 大統領
thread, 糸
chain, くさり
existence, 存在
year, 年
wool, 羊毛
hammer, ハンマー
damage, そこなう
week, 週
owner, 持主
verse, 詩節
cheese, チーズ名詞】
possible, ありうる
story, 物語
ticket, チケット
help, 助ける
clear, 明るい
measure, 計測する
bitter, 苦い
pipe, パイプ
attention, 注意
first, 最初に
so, 現に
paper, 紙
slow, 遅い
smooth, なめらかな
current, 流れ
form, 形姿
hat, 帽子
cloth, 生地
board, 板
engine, エンジン
wave, 波
process, 過程
sugar, さとう
wound, 負傷
rest, 休む
turn, 回転させる
sleep, 眠る
grip, 取っ手
together, 同時に
sun, 太陽
addition, 付け足し
lip, くちびる
trade, 交換
north, 北
poison, 毒
economic, 経済
garden, 庭いじりをする
also, もまた
high, 高い
smash, 打ち付ける
tight, 窮屈な
stamp, スタンプ
increase, 増やす
news, ニュース
button, ボタン
burst, 爆発
boat, 小船
among, ～の間に
weight, 重さ
basin, 洗面器
ear, 耳
sister, 姉妹
loose, なまけた
sort, 分類する
loud, うるさい
snake, ヘビ
fowl, 家禽
price, 価格
will, するつもりだ
flight, 飛行
through, から
violent, 暴力的
sex, 性別
now, 今
information, 情報
green, 緑色の
offer, 提供する
curtain, カーテン
sudden, 急激
ill, 不完全な
request, 要求
low, 低い
let, させる
last, 臨終の
range, 範囲
building, 建設
lead, 導く
light, 明るい
hard, 必死に
rate, 割合
error, 間違い
cushion, クッション
under, ～の下に
observation, 観測
limit, 制約
have, 持っている
stocking, ストッキング
purpose, 目的
apple, リンゴ
birth, 生みだす
able, 可能な
around, 周りに
whistle, 口笛
record, レコード
fold, 折りたたむ
wrong, 不正確な
test, テスト
knee, ひざ
fear, 恐怖
boiling, 煮えた
for, ～のために
humor, ユーモア
dark, 暗い
into, (入った)中に
print, 印刷
than, ～よりも
shelf, 棚
across, 横切った
lock, かぎ
destruction, 撃滅
back, 以前に
equal, 等しい
spring, 春
polish, 磨る
ant, アリ
fat, 太った
future, 未来の形容詞】
oven, 天火
fixed, 固定した
dress, 衣服
already, すでに
opinion, 意見
balance, バランスをとる
make, 作る
distribution, 配布
memory, 記憶
feather, 羽
heat, 暖める
bird, 鳥
day, 昼間
ice, 氷
pull, 引っぱる
field, 野原
automatic, 自動的な
chin, アゴ
account, 説明
pot, つぼ
square, 四角
ring, 鳴り響く
steam, 蒸す
company, 付添い
lift, 持ち上げる
