Eng,Ja
burst, 爆発
ring, 鳴り響く
international, 国際的な
up, 上方へ
again, さらに
body, 本体
page, ページ
steam, 蒸す
harmony, 調和
ill, 不完全な
boiling, 煮えた
lift, 持ち上げる
decision, 判断
flower, 花を咲かす
sticky, 粘っこい
existence, 存在
rod, 棒
family, 家族
art, 芸術
curtain, カーテン
look, 見える
hand, 手
bottle, ビン
man, 人間
boy, 男の子
space, スペース
and, ～と
cart, カート
little, わずか
humor, ユーモア
sneeze, くしゃみをする
town, 町
stick, ステッキ
iron, 鉄
far, はるかに
bent, まがった
distance, 引き離す
needle, はり
great, 偉大な
company, 付添い
simple, シンプルな
act, 行動する
shelf, 棚
view, 視野
substance, 物質
bone, 骨
till, ～まで
stamp, スタンプ
trousers, ズボン
come, 訪れる
black, 黒い
mixed, まざった
stage, 区間
plant, 植物
mobile, モバイル
send, 送る
smile, ほほ笑む
prison, 牢屋
advertisement, アド
grass, 芝生
square, 四角
representative, 代表する
rail, 横木
thought, 思索
will, するつもりだ
year, 年
bad, ひどい
clear, 明るい
account, 説明
crack, ひびわれる
noise, 騒ぐ
start, 開始
servant, 使用人
enough, 十分
quality, 品質
information, 情報
leg, 脚
well, よく
laugh, 笑う
almost, ほぼ
hammer, ハンマー
president, 大統領
leaf, 葉っぱ
false, 間違った
other, ほかの
level, 水平になる
also, もまた
control, 制御する
say, 言う
danger, リスク
yes, 肯定的な返答
quiet, 静かな
number, 数
self, 自分
watch, 時計
take, 取る
manager, 管理職
conscious, 気づいて
farm, 農場
pain, 痛み
angry, 怒った
touch, タッチ
even, 均等な
spoon, スプーン
run, 走る
country, 国家
death, 絶命
curve, 曲がる
throat, のど
spring, 春
warm, 暖める
distribution, 配布
or, または
as, 同じように
thread, 糸
by, ～のそばで
sheep, ヒツジ
unit, 単一体
high, 高い
chemical, 化学的な
seem, 見える
pleasure, 喜び
berry, ベリー
complete, 完全な
so, 現に
polish, 磨る
grip, 取っ手
net, ネット
steel, 鋼鉄
sharp, するどい
example, 見本
put, 置く
wax, ロウ
sail, 帆
destruction, 撃滅
pump, 注入する
kind, 親切な
root, 根っこ
whistle, 口笛
wise, かしこい才
rate, 割合
electric, 電気の
part, ある程度
glass, ガラス
approval, 賛成
ticket, チケット
chest, むね
round, まるい
fold, 折りたたむ
rain, 雨が降る
trick, いたずら
lock, かぎ
please, 喜ばせる
stone, 石
tree, 木
error, 間違い
talk, 話す
serious, まじめな
vessel, 容器
cruel, 無情な
true, 正確な
religion, 信仰
cake, ケーキ
get, 受け取る
design, 計画
house, 家
door, 扉
spade, スペード
where, 場所
hair, 毛
hook, 鉤
fixed, 固定した
coat, コート
bitter, 苦い
sponge, スポンジ
branch, 枝
boot, ブーツ
possible, ありうる
turn, 回転させる
secretary, 事務官
end, 終える
male, 男性
data, データ
flag, 旗
value, 価値
love, 愛情
growth, 成長
ornament, 装飾
already, すでに
first, 最初に
ear, 耳
able, 可能な
strange, 奇妙な
teaching, 教え
roof, 屋根
weather, 天気
writing, 作文
argument, 議論
bed, ベッド
peace, 和平
basin, 洗面器
size, サイズ
different, 変わった
match, 試合
very, とても
table, テーブル
reason, 推論
silk, 絹糸
through, から
sort, 分類する
mass, 大きな塊
story, 物語
current, 流れ
fear, 恐怖
solid, 固体の
violent, 暴力的
test, テスト
machine, 機械
wheel, 車輪
yesterday, 昨日
learning, 修得
cough, せき
comb, クシ
drawer, 引き出し
adjustment, 手直し
paint, 色つけ
position, 場所
silver, 銀
month, 月
narrow, せまい
hat, 帽子
feather, 羽
business, シゴト
short, 短い
engine, エンジン
join, 交わる
into, (入った)中に
bag, ふくろ
floor, 床
pull, 引っぱる
scissors, はさみ
oil, オイル
near, ほぼ
blood, 血液
line, 線
screw, ねじる
angle, 角度
fish, 魚
brain, 頭脳
general, 世間一般の
poison, 毒
son, 息子
among, ～の間に
west, 西
addition, 付け足し
but, しかし
snake, ヘビ
while, 期間
ice, 氷
let, させる
skirt, スカート
cheap, 安上がりな
goat, 山羊
woman, 女性
process, 過程
hope, 実現させたいと願う
night, 夜
pin, ピン
committee, コミッティ
full, いっぱいの
do, する
dead, 枯れた
key, 鍵
minute, 分
here, ここに
flat, フラット
science, 科学
yellow, 黄色い
important, 重要な
basket, かご
neck, 首
for, ～のために
harbor, 港
word, 言葉
clock, 計時
history, 歴史
chin, アゴ
south, 南
when, 時期
if, もしも
tall, 高い
interest, 気晴らし
horse, 馬
separate, 分かれた
judge, 判断する
back, 以前に
wide, 幅広い
rough, 荒い
living, 生きている
circle, 一回り
shake, 振る
metal, メタリック
shame, 恥
station, 駅
mountain, 山
orange, オレンジがかった
week, 週
observation, 観測
collar, エリ
about, ～について
wood, 樹木
rhythm, リズム
such, こんな
elastic, 弾力のある
snow, 雪が降る
burn, 燃す
to, ～へ
water, 水
discussion, 話し合い
blow, 吹く
fight, ファイト
pencil, 鉛筆
land, 土地
across, 横切った
beautiful, 美しい
attack, 攻める
parcel, 小包
drink, 飲む
river, 川
gold, 黄金
ant, アリ
chief, 主要な
relation, 結付き
property, 所有物
statement, 述べる
feeble, 弱々しい
animal, 動物
light, 明るい
lead, 導く
impulse, 衝動
dry, 乾いた
mist, 霧
authority, 権威
powder, 粉
nose, 鼻
voice, 声
east, 東
wire, 針金
small, 小さい
agreement, 協定
tendency, 傾向
free, 自由な
oven, 天火
reading, 読み取り
cut, カットされた
operation, 運転
egg, 卵
how, 方法
selection, 選択
tail, 尻尾
society, 世界
social, 社会
meal, 食事
system, システム
sense, 感覚
train, 列車
opposite, 向かい合わせの
smooth, なめらかな
amount, 量
still, 静かな
amusement, 楽しみ
plate, 平皿
left, 左の
knee, ひざ
map, 地図
group, 集まり
economic, 経済
crush, 壊れる
cloud, 雲
brake, 歯止め
monkey, さる
in, 中に
help, 助ける
note, 記録
button, ボタン
drain, 排水路
morning, 朝
card, カード
paste, 貼りつける
wet, ぬれた
blade, 刃物
shoe, くつ
desire, 欲しがる
suggestion, 提案
question, 問いただす
jump, 跳躍する
pig, ぶた
base, 基礎づける
cook, 炊事する
purpose, 目的
order, 配列
cry, めそめそする
disease, 不快な状態
public, パブリック
stitch, ぬい合わせる
step, 段
protest, 断言する
long, 長い
only, ただひとり
window, ウィンドウ
ready, 準備のできた
right, 正確な
seat, 着席させる
tin, スズ
at, ～に
flame, 火炎
nuts, 木の実
thumb, おやゆび
strong, 力強い
limit, 制約
wrong, 不正確な
division, 分割
disgust, 吐き気を催させる
salt, 塩
comparison, 比較
trouble, 故障
education, 教育
good, 良い
reward, 報いる
all, すべて
wind, 風
bit, かけら
debt, 負債
bulb, 球状のもの
way, 道
profit, 得する
kick, 蹴り
thick, 濃い
market, 市場
sun, 太陽
milk, 牛乳
wash, 洗う
stem, 茎
though, だが
office, オフィス
foolish, おろかな
stomach, 胃
effect, 結果
cause, 原因
out, 外に
brother, 兄
use, 使う
dark, 暗い
reaction, 反応
driving, 運転
regular, 普通の
push, 押す
private, 秘密の
moon, 月
trade, 交換
day, 昼間
friend, 友達
special, 特別の
receipt, 受取り
bright, 明々と
white, 白い
sign, 記号
shock, ショック
chance, 賭け
baby, ベビー
verse, 詩節
insect, 虫
safe, 安全な
cover, おおう
red, 赤い
stiff, こわばった
hard, 必死に
sudden, 急激
worm, 虫
stretch, 伸張
glove, 手袋
air, 空気
hanging, つりさげ
fact, 事実
hole, 穴
opinion, 意見
kettle, 湯わかし
sister, 姉妹
nerve, 神経
acid, すっぱい
bath, 入浴
thin, 痩せた
poor, 貧乏な
fiction, 作り話
hate, うらむ
owner, 持主
then, それから
fire, 焼く
industry, 産業
need, 動機
soup, スープ
pen, ペン
news, ニュース
skin, ひふ
feeling, 感じ
language, 言語
material, 実質的
jelly, ゼリー化する
sound, 鳴る
much, ほぼ
money, 硬貨
physical, 物理的
dog, 犬
care, 整備
open, 開いた
island, 島
structure, 構造
present, 現在の
theory, 理論
list, 挙げる
move, 動く
potato, ジャガイモ
world, 世界
loud, うるさい
bucket, バケツ
nail, つめ
law, 法律
sweet, 優しい
father, 父親
bridge, 橋
cushion, クッション
waiting, 待ち時間
force, 勢い
punishment, 処罰
song, 歌
star, 星
scale, 目盛り
fly, 飛ぶ
winter, 冬
hospital, 病院
cow, 牛
daughter, 娘
heat, 暖める
early, 早い
brick, ブロック
shirt, シャツ
tired, 疲れた
balance, バランスをとる
give, あたえる
head, アタマ
over, 上の方に
make, 作る
road, 道筋
on, うえに
past, 通り越して
smoke, 煙を出す
ray, 光線
dust, 散らかす
comfort, 快適
secret, 秘密の
sky, 空
hollow, 空っぽな
green, 緑色の
person, 個人
copper, 銅
hour, 時間
deep, 深い
before, 先に
umbrella, かさ
stop, ストップ
go, 行く
have, 持っている
mind, 気持ち
young, 若い
some, いくつかの
print, 印刷
smell, においがする
picture, 絵
after, ～の後に
instrument, 器具
chain, くさり
food, 食べ物
edge, 刃
waste, 浪費する
mother, 母親
record, レコード
complex, 複雑な
military, 軍事的な
married, 結婚している
sad, 残念な
competition, 競争
roll, 転がる
shut, 閉じた
tongue, 舌
future, 未来の形容詞】
side, 片面
tax, 課税
knife, ナイフ
wave, 波
now, 今
army, 軍団
attempt, 試みる
cord, ひも
box, 箱
wool, 羊毛
fruit, くだもの
music, ミュージック
second, 第2に
every, あらゆる
taste, 味覚
detail, 詳しく述べる
twist, ひねる
of, ～の
sugar, さとう
dear, 親愛な
girl, 令嬢
plane, 平ら
wing, つばさ
insurance, 保険
happy, しあわせな
