Eng,Ja
care, 整備
of, ～の
any, なんらか
receipt, 受取り
let, させる
pencil, 鉛筆
book, 本
birth, 生みだす
size, サイズ
root, 根っこ
social, 社会
instrument, 器具
curtain, カーテン
grip, 取っ手
market, 市場
thin, 痩せた
self, 自分
number, 数
automatic, 自動的な
room, 部屋
right, 正確な
body, 本体
prison, 牢屋
pot, つぼ
fight, ファイト
please, 喜ばせる
range, 範囲
addition, 付け足し
month, 月
sand, 砂
name, 名前
kind, 親切な
example, 見本
see, 見る
dependent, 依存した
wound, 負傷
air, 空気
sad, 残念な
but, しかし
black, 黒い
street, ストリート
leaf, 葉っぱ
use, 使う
representative, 代表する
complex, 複雑な
goat, 山羊
ship, 船
button, ボタン
river, 川
seat, 着席させる
