Eng,Ja
tree, 木
milk, 牛乳
bird, 鳥
family, 家族
curtain, カーテン
button, ボタン
love, 愛情
baby, ベビー
loss, 敗北
protest, 断言する
of, ～の
sound, 鳴る
sand, 砂
metal, メタリック
fly, 飛ぶ
change, 変質
automatic, 自動的な
necessary, 必然的
record, レコード
cord, ひも
summer, 夏
error, 間違い
cut, カットされた
if, もしも
stiff, こわばった
nail, つめ
low, 低い
like, 同じような
arch, カーブ
when, 時期
side, 片面
to, ～へ
plane, 平ら
shame, 恥
equal, 等しい
up, 上方へ
meat, 肉
loose, なまけた
into, (入った)中に
smoke, 煙を出す
glass, ガラス
argument, 議論
cruel, 無情な
earth, 地球
powder, 粉
week, 週
international, 国際的な
amount, 量
yellow, 黄色い
mine, 私の
