Eng,Ja
soup, スープ
chemical, 化学的な
see, 見る
cup, コップ
porter, 運搬人
brain, 頭脳
use, 使う
vessel, 容器
poison, 毒
thought, 思索
discovery, 発見
rat, ネズミ
opinion, 意見
voice, 声
necessary, 必然的
crack, ひびわれる
weight, 重さ
poor, 貧乏な
fall, 落ちる
sex, 性別
hearing, 聞くこと
liquid, 液体
scissors, はさみ
law, 法律
manager, 管理職
stretch, 伸張
first, 最初に
cloud, 雲
expansion, 引き伸ばし
data, データ
memory, 記憶
house, 家
ornament, 装飾
cheap, 安上がりな
hat, 帽子
start, 開始
adjustment, 手直し
rub, こする
balance, バランスをとる
frame, 骨組み
meal, 食事
sun, 太陽
no, いいえ
army, 軍団
cow, 牛
dependent, 依存した
thumb, おやゆび
belief, 印象
round, まるい
man, 人間
