Eng,Ja
cart, カート
feeling, 感じ
well, よく
rub, こする
scissors, はさみ
comparison, 比較
foolish, おろかな
full, いっぱいの
hour, 時間
industry, 産業
rest, 休む
month, 月
cook, 炊事する
small, 小さい
gun, 銃
tooth, 歯
edge, 刃
brush, ブラシ
law, 法律
military, 軍事的な
grain, 穀物
foot, 足
medical, 医療
reading, 読み取り
suggestion, 提案
pump, 注入する
green, 緑色の
throat, のど
late, 遅れた
young, 若い
silver, 銀
mountain, 山
hospital, 病院
ready, 準備のできた
disgust, 吐き気を催させる
sort, 分類する
garden, 庭いじりをする
discovery, 発見
again, さらに
pig, ぶた
land, 土地
office, オフィス
clean, きれいな
death, 絶命
bath, 入浴
muscle, 筋肉
cruel, 無情な
fork, フォーク
animal, 動物
form, 形姿
