Eng,Ja
building, 建設
parallel, 平行な
ever, つねに
together, 同時に
heart, こころ
condition, 条件
forward, 前に
memory, 記憶
letter, 便り
flight, 飛行
jewel, 宝石
event, できごと
sock, ぶん殴る
certain, 確かな
shade, 影
old, 古い
financial, 財務上の
guide, 案内する
swim, 泳ぎ
frame, 骨組み
kiss, くちづけ
necessary, 必然的
sea, 海
whip, むち打ち
summer, 夏
from, ～から
war, 戦争
attraction, 魅力
field, 野原
wound, 負傷
drop, しずく
top, てっぺん
band, しばるもの
finger, 指
name, 名前
color, 色合い
loss, 敗北
awake, 覚めた
price, 価格
walk, 歩く
ball, 球
fork, フォーク
face, 顔
change, 変質
store, 商店
degree, レベル
why, 理由
natural, 自然な
library, ライブラリ
cold, 冷たい
