Eng,Ja
hard, 必死に
ornament, 装飾
gun, 銃
growth, 成長
bit, かけら
leaf, 葉っぱ
male, 男性
with, いっしょに
brain, 頭脳
kiss, くちづけ
society, 世界
to, ～へ
safe, 安全な
make, 作る
card, カード
self, 自分
gray, 灰色の
bird, 鳥
normal, 正常な
pump, 注入する
goat, 山羊
ever, つねに
judge, 判断する
office, オフィス
loose, なまけた
week, 週
great, 偉大な
send, 送る
will, するつもりだ
print, 印刷
surprise, 驚き
regret, 惜しむ
fiction, 作り話
liquid, 液体
station, 駅
fear, 恐怖
tired, 疲れた
then, それから
paint, 色つけ
map, 地図
spoon, スプーン
dependent, 依存した
dear, 親愛な
skirt, スカート
east, 東
separate, 分かれた
material, 実質的
sort, 分類する
line, 線
approval, 賛成
