Eng,Ja
air, 空気
voice, 声
orange, オレンジがかった
against, 反抗して
common, 共通の
egg, 卵
reading, 読み取り
connection, 結びつき
field, 野原
simple, シンプルな
turn, 回転させる
gun, 銃
wool, 羊毛
serious, まじめな
feather, 羽
thought, 思索
cheese, チーズ名詞】
ray, 光線
drawer, 引き出し
parcel, 小包
north, 北
harbor, 港
ear, 耳
fruit, くだもの
such, こんな
why, 理由
chance, 賭け
government, 統治すること
degree, レベル
dead, 枯れた
liquid, 液体
glass, ガラス
river, 川
taste, 味覚
direction, 舵取り
mother, 母親
high, 高い
wide, 幅広い
copy, コピー
future, 未来の形容詞】
fold, 折りたたむ
adjustment, 手直し
ready, 準備のできた
mouth, 口
cultivate, 耕す
word, 言葉
carriage, 乗り物
shut, 閉じた
left, 左の
into, (入った)中に
