Eng,Ja
sweet, 優しい
river, 川
dependent, 依存した
cut, カットされた
probable, ありそうな
healthy, 健康な
mountain, 山
pig, ぶた
muscle, 筋肉
book, 本
field, 野原
common, 共通の
polish, 磨る
dear, 親愛な
young, 若い
letter, 便り
have, 持っている
company, 付添い
dead, 枯れた
side, 片面
tax, 課税
line, 線
military, 軍事的な
narrow, せまい
wound, 負傷
nose, 鼻
nerve, 神経
opposite, 向かい合わせの
lock, かぎ
happy, しあわせな
by, ～のそばで
day, 昼間
send, 送る
ornament, 装飾
bone, 骨
ship, 船
fiction, 作り話
here, ここに
reaction, 反応
parallel, 平行な
may, してもいい
some, いくつかの
bit, かけら
complex, 複雑な
base, 基礎づける
open, 開いた
pipe, パイプ
copper, 銅
lift, 持ち上げる
married, 結婚している
