Eng,Ja
sponge, スポンジ
get, 受け取る
thing, モノ
powder, 粉
wall, カベ
brown, 茶色い
dear, 親愛な
soup, スープ
air, 空気
rate, 割合
behaviour, 行儀
limit, 制約
leaf, 葉っぱ
spade, スペード
cheese, チーズ名詞】
true, 正確な
great, 偉大な
south, 南
east, 東
produce, 生産する
whip, むち打ち
horn, 角
on, うえに
cry, めそめそする
operation, 運転
come, 訪れる
thick, 濃い
mobile, モバイル
hook, 鉤
tree, 木
fertile, 肥えた
sheep, ヒツジ
death, 絶命
drop, しずく
farm, 農場
tendency, 傾向
face, 顔
ever, つねに
stop, ストップ
jelly, ゼリー化する
tongue, 舌
skin, ひふ
separate, 分かれた
instrument, 器具
broken, 壊れた
seem, 見える
oil, オイル
flight, 飛行
false, 間違った
male, 男性
