Eng,Ja
fowl, 家禽
stocking, ストッキング
knee, ひざ
record, レコード
observation, 観測
purpose, 目的
test, テスト
limit, 制約
hard, 必死に
loose, なまけた
snake, ヘビ
whistle, 口笛
ill, 不完全な
light, 明るい
around, 周りに
birth, 生みだす
wrong, 不正確な
building, 建設
error, 間違い
now, 今
fold, 折りたたむ
under, ～の下に
sort, 分類する
ear, 耳
violent, 暴力的
able, 可能な
through, から
rate, 割合
will, するつもりだ
green, 緑色の
have, 持っている
flight, 飛行
price, 価格
fear, 恐怖
request, 要求
range, 範囲
curtain, カーテン
sister, 姉妹
information, 情報
sudden, 急激
apple, リンゴ
sex, 性別
last, 臨終の
boiling, 煮えた
cushion, クッション
lead, 導く
low, 低い
offer, 提供する
loud, うるさい
let, させる
