Eng,Ja
early, 早い
sky, 空
thumb, おやゆび
screw, ねじる
acid, すっぱい
smell, においがする
hospital, 病院
bright, 明々と
decision, 判断
thin, 痩せた
every, あらゆる
vessel, 容器
public, パブリック
angle, 角度
where, 場所
fertile, 肥えた
well, よく
red, 赤い
street, ストリート
almost, ほぼ
crush, 壊れる
gray, 灰色の
disgust, 吐き気を催させる
profit, 得する
enough, 十分
dear, 親愛な
yesterday, 昨日
boy, 男の子
pleasure, 喜び
water, 水
small, 小さい
bone, 骨
copy, コピー
cough, せき
edge, 刃
brick, ブロック
present, 現在の
mother, 母親
cook, 炊事する
town, 町
private, 秘密の
quiet, 静かな
true, 正確な
poor, 貧乏な
neck, 首
control, 制御する
sheep, ヒツジ
mist, 霧
orange, オレンジがかった
side, 片面
