Eng,Ja
so, 現に
property, 所有物
necessary, 必然的
elastic, 弾力のある
other, ほかの
under, ～の下に
force, 勢い
eye, 目
first, 最初に
print, 印刷
sudden, 急激
distribution, 配布
or, または
industry, 産業
back, 以前に
future, 未来の形容詞】
use, 使う
form, 形姿
high, 高い
selection, 選択
able, 可能な
silk, 絹糸
married, 結婚している
manager, 管理職
arm, 武装
red, 赤い
insect, 虫
economic, 経済
stitch, ぬい合わせる
train, 列車
bone, 骨
electric, 電気の
talk, 話す
wax, ロウ
wheel, 車輪
to, ～へ
fat, 太った
side, 片面
blood, 血液
soap, せっけん
because, なぜなら
goat, 山羊
meeting, 集まり
among, ～の間に
cheap, 安上がりな
expansion, 引き伸ばし
cart, カート
of, ～の
ink, インク
common, 共通の
