Eng,Ja
paper, 紙
garden, 庭いじりをする
help, 助ける
neck, 首
already, すでに
right, 正確な
every, あらゆる
quiet, 静かな
black, 黒い
balance, バランスをとる
measure, 計測する
shake, 振る
little, わずか
hard, 必死に
awake, 覚めた
building, 建設
potato, ジャガイモ
ant, アリ
water, 水
idea, 着想
snow, 雪が降る
physical, 物理的
sad, 残念な
grain, 穀物
electric, 電気の
go, 行く
point, 点
prose, 散文
shelf, 棚
degree, レベル
necessary, 必然的
political, 政治的な
how, 方法
fall, 落ちる
observation, 観測
list, 挙げる
pin, ピン
store, 商店
rule, ルール
bridge, 橋
force, 勢い
development, 発展
sharp, するどい
bad, ひどい
government, 統治すること
cat, ネコ
card, カード
old, 古い
between, 中間に
reason, 推論
