Eng,Ja
process, 過程
kick, 蹴り
mist, 霧
sneeze, くしゃみをする
may, してもいい
please, 喜ばせる
limit, 制約
rain, 雨が降る
from, ～から
profit, 得する
happy, しあわせな
manager, 管理職
house, 家
worm, 虫
knee, ひざ
angry, 怒った
fish, 魚
ready, 準備のできた
move, 動く
account, 説明
by, ～のそばで
married, 結婚している
use, 使う
oven, 天火
fall, 落ちる
table, テーブル
thunder, 雷
arm, 武装
full, いっぱいの
sister, 姉妹
cough, せき
root, 根っこ
berry, ベリー
agreement, 協定
again, さらに
hat, 帽子
natural, 自然な
iron, 鉄
plant, 植物
grain, 穀物
last, 臨終の
offer, 提供する
horn, 角
gray, 灰色の
straight, まっすぐな
smash, 打ち付ける
hammer, ハンマー
certain, 確かな
market, 市場
thin, 痩せた
