Eng,Ja
equal, 等しい
surprise, 驚き
yesterday, 昨日
quick, 素早い
grip, 取っ手
history, 歴史
dark, 暗い
wine, ワイン
measure, 計測する
safe, 安全な
bent, まがった
almost, ほぼ
argument, 議論
hole, 穴
pipe, パイプ
motion, 動き
force, 勢い
amount, 量
punishment, 処罰
strong, 力強い
turn, 回転させる
have, 持っている
wax, ロウ
join, 交わる
do, する
number, 数
effect, 結果
business, シゴト
hour, 時間
bite, かみつく
mobile, モバイル
earth, 地球
oil, オイル
star, 星
stocking, ストッキング
tax, 課税
cut, カットされた
sugar, さとう
light, 明るい
crime, 犯罪
person, 個人
every, あらゆる
face, 顔
north, 北
how, 方法
dog, 犬
skirt, スカート
son, 息子
smile, ほほ笑む
burn, 燃す
