Eng,Ja
basket, かご
rat, ネズミ
shelf, 棚
trade, 交換
crush, 壊れる
cloth, 生地
answer, 答える
sort, 分類する
insurance, 保険
island, 島
cheese, チーズ名詞】
warm, 暖める
front, 正面
head, アタマ
fixed, 固定した
orange, オレンジがかった
kiss, くちづけ
dress, 衣服
bulb, 球状のもの
frequent, よくある
take, 取る
fact, 事実
paste, 貼りつける
verse, 詩節
board, 板
oil, オイル
south, 南
sticky, 粘っこい
act, 行動する
box, 箱
sister, 姉妹
chain, くさり
on, うえに
if, もしも
process, 過程
secret, 秘密の
knot, 結ぶ
rub, こする
expansion, 引き伸ばし
physical, 物理的
sponge, スポンジ
event, できごと
tired, 疲れた
system, システム
rail, 横木
wet, ぬれた
year, 年
spoon, スプーン
ornament, 装飾
week, 週
