Eng,Ja
music, ミュージック
knot, 結ぶ
surprise, 驚き
box, 箱
of, ～の
plane, 平ら
wool, 羊毛
girl, 令嬢
off, ～から離れて
last, 臨終の
attempt, 試みる
experience, 経験
fruit, くだもの
grain, 穀物
discovery, 発見
cord, ひも
detail, 詳しく述べる
cultivate, 耕す
wing, つばさ
street, ストリート
see, 見る
journey, 旅行
new, 新しい
power, 力
insurance, 保険
stocking, ストッキング
normal, 正常な
under, ～の下に
fertile, 肥えた
dear, 親愛な
tooth, 歯
same, 同じ
happy, しあわせな
development, 発展
muscle, 筋肉
taste, 味覚
against, 反抗して
exchange, 取り替える
ship, 船
sugar, さとう
dress, 衣服
measure, 計測する
second, 第2に
every, あらゆる
army, 軍団
quite, すっかり
weight, 重さ
twist, ひねる
crime, 犯罪
liquid, 液体
