Eng,Ja
hanging, つりさげ
desire, 欲しがる
thought, 思索
system, システム
competition, 競争
other, ほかの
pull, 引っぱる
worm, 虫
top, てっぺん
growth, 成長
scale, 目盛り
teaching, 教え
plane, 平ら
trick, いたずら
because, なぜなら
tax, 課税
here, ここに
till, ～まで
flight, 飛行
boy, 男の子
able, 可能な
ornament, 装飾
lock, かぎ
help, 助ける
boot, ブーツ
war, 戦争
man, 人間
son, 息子
letter, 便り
secretary, 事務官
sand, 砂
right, 正確な
star, 星
smoke, 煙を出す
false, 間違った
wave, 波
chance, 賭け
almost, ほぼ
level, 水平になる
insurance, 保険
meal, 食事
deep, 深い
yellow, 黄色い
town, 町
answer, 答える
step, 段
purpose, 目的
probable, ありそうな
already, すでに
may, してもいい
