Eng,Ja
silk, 絹糸
attraction, 魅力
tomorrow, あす
monkey, さる
roll, 転がる
degree, レベル
organization, 設立
cry, めそめそする
moon, 月
store, 商店
wet, ぬれた
music, ミュージック
lead, 導く
smooth, なめらかな
normal, 正常な
birth, 生みだす
direction, 舵取り
development, 発展
important, 重要な
family, 家族
broken, 壊れた
rail, 横木
lift, 持ち上げる
respect, 尊敬
berry, ベリー
gray, 灰色の
nuts, 木の実
day, 昼間
run, 走る
may, してもいい
orange, オレンジがかった
wind, 風
hammer, ハンマー
hope, 実現させたいと願う
spoon, スプーン
plate, 平皿
instrument, 器具
engine, エンジン
slow, 遅い
sail, 帆
such, こんな
wound, 負傷
but, しかし
wood, 樹木
sleep, 眠る
stick, ステッキ
structure, 構造
feather, 羽
paper, 紙
nail, つめ
