Eng,Ja
group, 集まり
come, 訪れる
idea, 着想
lock, かぎ
dry, 乾いた
plane, 平ら
flight, 飛行
north, 北
bee, 蜂
foolish, おろかな
ever, つねに
collar, エリ
animal, 動物
paint, 色つけ
gold, 黄金
competition, 競争
fertile, 肥えた
sun, 太陽
motion, 動き
probable, ありそうな
net, ネット
suggestion, 提案
liquid, 液体
cord, ひも
certain, 確かな
stitch, ぬい合わせる
conscious, 気づいて
here, ここに
chance, 賭け
light, 明るい
ring, 鳴り響く
damage, そこなう
international, 国際的な
short, 短い
point, 点
bite, かみつく
chin, アゴ
for, ～のために
west, 西
give, あたえる
healthy, 健康な
produce, 生産する
jump, 跳躍する
train, 列車
pig, ぶた
organization, 設立
person, 個人
cook, 炊事する
sea, 海
opinion, 意見
