Eng,Ja
loud, うるさい
disease, 不快な状態
rice, おコメ
cord, ひも
number, 数
measure, 計測する
bridge, 橋
world, 世界
day, 昼間
ring, 鳴り響く
out, 外に
across, 横切った
driving, 運転
bad, ひどい
part, ある程度
skirt, スカート
machine, 機械
move, 動く
light, 明るい
short, 短い
breath, 呼吸
finger, 指
shade, 影
general, 世間一般の
fall, 落ちる
twist, ひねる
protest, 断言する
thumb, おやゆび
put, 置く
umbrella, かさ
strong, 力強い
conscious, 気づいて
month, 月
garden, 庭いじりをする
throat, のど
insect, 虫
quiet, 静かな
existence, 存在
roof, 屋根
rough, 荒い
sneeze, くしゃみをする
president, 大統領
screw, ねじる
theory, 理論
tongue, 舌
stretch, 伸張
step, 段
observation, 観測
brother, 兄
flight, 飛行
