Eng,Ja
knife, ナイフ
short, 短い
frequent, よくある
stocking, ストッキング
sail, 帆
net, ネット
drink, 飲む
white, 白い
sharp, するどい
button, ボタン
till, ～まで
special, 特別の
taste, 味覚
mountain, 山
strong, 力強い
president, 大統領
right, 正確な
liquid, 液体
mouth, 口
daughter, 娘
position, 場所
cause, 原因
wound, 負傷
seat, 着席させる
slow, 遅い
danger, リスク
river, 川
boy, 男の子
boiling, 煮えた
copper, 銅
look, 見える
almost, ほぼ
cat, ネコ
name, 名前
pen, ペン
acid, すっぱい
smooth, なめらかな
dependent, 依存した
place, 場所
opposite, 向かい合わせの
blow, 吹く
mark, 目印
material, 実質的
tail, 尻尾
discovery, 発見
silver, 銀
attempt, 試みる
rough, 荒い
band, しばるもの
crush, 壊れる
