Eng,Ja
reading, 読み取り
desire, 欲しがる
system, システム
card, カード
society, 世界
morning, 朝
crush, 壊れる
brake, 歯止め
group, 集まり
sense, 感覚
tendency, 傾向
operation, 運転
cut, カットされた
blade, 刃物
egg, 卵
map, 地図
suggestion, 提案
knee, ひざ
purpose, 目的
drain, 排水路
amount, 量
monkey, さる
meal, 食事
tail, 尻尾
how, 方法
opposite, 向かい合わせの
selection, 選択
cook, 炊事する
base, 基礎づける
social, 社会
help, 助ける
cloud, 雲
paste, 貼りつける
amusement, 楽しみ
jump, 跳躍する
button, ボタン
wet, ぬれた
in, 中に
train, 列車
free, 自由な
note, 記録
shoe, くつ
pig, ぶた
left, 左の
economic, 経済
oven, 天火
question, 問いただす
still, 静かな
smooth, なめらかな
plate, 平皿
