Eng,Ja
fish, 魚
learning, 修得
responsible, 責任がある
transport, 運輸
pocket, 懐中
stick, ステッキ
box, 箱
and, ～と
debt, 負債
system, システム
military, 軍事的な
comb, クシ
do, する
money, 硬貨
position, 場所
worm, 虫
feather, 羽
sheep, ヒツジ
umbrella, かさ
tray, お盆
thought, 思索
division, 分割
give, あたえる
bulb, 球状のもの
word, 言葉
ant, アリ
fat, 太った
dog, 犬
future, 未来の形容詞】
band, しばるもの
kick, 蹴り
kind, 親切な
shoe, くつ
peace, 和平
increase, 増やす
laugh, 笑う
middle, 中位
beautiful, 美しい
violent, 暴力的
dirty, 汚れた
summer, 夏
current, 流れ
past, 通り越して
salt, 塩
cat, ネコ
weather, 天気
protest, 断言する
in, 中に
green, 緑色の
front, 正面
