Eng,Ja
unit, 単一体
page, ページ
glove, 手袋
company, 付添い
food, 食べ物
make, 作る
enough, 十分
steam, 蒸す
pen, ペン
needle, はり
name, 名前
statement, 述べる
harmony, 調和
feather, 羽
short, 短い
material, 実質的
test, テスト
ever, つねに
say, 言う
then, それから
request, 要求
mark, 目印
put, 置く
design, 計画
earth, 地球
even, 均等な
bell, ベル
at, ～に
wire, 針金
back, 以前に
act, 行動する
yesterday, 昨日
island, 島
between, 中間に
powder, 粉
porter, 運搬人
fish, 魚
cushion, クッション
lead, 導く
in, 中に
dear, 親愛な
free, 自由な
tomorrow, あす
near, ほぼ
wise, かしこい才
open, 開いた
train, 列車
offer, 提供する
fold, 折りたたむ
burst, 爆発
