Eng,Ja
week, 週
now, 今
comb, クシ
friend, 友達
knowledge, 知識
ear, 耳
market, 市場
bath, 入浴
house, 家
shame, 恥
damage, そこなう
between, 中間に
religion, 信仰
trick, いたずら
bucket, バケツ
swim, 泳ぎ
distance, 引き離す
morning, 朝
motion, 動き
data, データ
committee, コミッティ
paint, 色つけ
how, 方法
bridge, 橋
field, 野原
desire, 欲しがる
than, ～よりも
hammer, ハンマー
match, 試合
parcel, 小包
bird, 鳥
cold, 冷たい
tray, お盆
dirty, 汚れた
sex, 性別
sleep, 眠る
muscle, 筋肉
destruction, 撃滅
door, 扉
crack, ひびわれる
owner, 持主
as, 同じように
lock, かぎ
take, 取る
noise, 騒ぐ
learning, 修得
skirt, スカート
wave, 波
bright, 明々と
flat, フラット
