Eng,Ja
round, まるい
sea, 海
spoon, スプーン
yes, 肯定的な返答
tongue, 舌
society, 世界
cold, 冷たい
drop, しずく
range, 範囲
mother, 母親
woman, 女性
sense, 感覚
country, 国家
dust, 散らかす
why, 理由
development, 発展
paint, 色つけ
across, 横切った
memory, 記憶
expert, 専門家
than, ～よりも
prose, 散文
down, 下に
clock, 計時
fertile, 肥えた
face, 顔
stage, 区間
motion, 動き
responsible, 責任がある
start, 開始
argument, 議論
salt, 塩
detail, 詳しく述べる
interest, 気晴らし
heart, こころ
match, 試合
future, 未来の形容詞】
picture, 絵
grass, 芝生
flower, 花を咲かす
slow, 遅い
healthy, 健康な
attack, 攻める
warm, 暖める
feeble, 弱々しい
political, 政治的な
fact, 事実
place, 場所
operation, 運転
skirt, スカート
