Eng,Ja
quality, 品質
edge, 刃
group, 集まり
accordingto, ～によれば
ticket, チケット
nation, 国家
sand, 砂
acid, すっぱい
book, 本
floor, 床
small, 小さい
wet, ぬれた
tooth, 歯
hole, 穴
stick, ステッキ
kettle, 湯わかし
feeling, 感じ
bed, ベッド
heart, こころ
shock, ショック
son, 息子
memory, 記憶
room, 部屋
cover, おおう
international, 国際的な
flag, 旗
attack, 攻める
leaf, 葉っぱ
person, 個人
control, 制御する
economic, 経済
though, だが
hat, 帽子
chain, くさり
horn, 角
slope, 傾ける
woman, 女性
flame, 火炎
use, 使う
way, 道
stem, 茎
rain, 雨が降る
solid, 固体の
quick, 素早い
chin, アゴ
name, 名前
wound, 負傷
every, あらゆる
knot, 結ぶ
net, ネット
