Eng,Ja
point, 点
pleasure, 喜び
hearing, 聞くこと
engine, エンジン
crack, ひびわれる
lead, 導く
blue, 青い
addition, 付け足し
support, 支える
mind, 気持ち
clock, 計時
also, もまた
roof, 屋根
pain, 痛み
train, 列車
turn, 回転させる
square, 四角
kettle, 湯わかし
hospital, 病院
news, ニュース
regular, 普通の
degree, レベル
street, ストリート
water, 水
insurance, 保険
first, 最初に
day, 昼間
rate, 割合
rhythm, リズム
join, 交わる
doubt, 怪しむ
at, ～に
produce, 生産する
paper, 紙
safe, 安全な
as, 同じように
waste, 浪費する
south, 南
man, 人間
invention, 考案
quite, すっかり
operation, 運転
chemical, 化学的な
need, 動機
pot, つぼ
old, 古い
bulb, 球状のもの
surprise, 驚き
garden, 庭いじりをする
attention, 注意
