Eng,Ja
sock, ぶん殴る
different, 変わった
nail, つめ
death, 絶命
please, 喜ばせる
necessary, 必然的
answer, 答える
milk, 牛乳
seat, 着席させる
put, 置く
fish, 魚
young, 若い
shock, ショック
foolish, おろかな
insurance, 保険
cut, カットされた
great, 偉大な
strange, 奇妙な
government, 統治すること
thunder, 雷
blade, 刃物
yellow, 黄色い
here, ここに
little, わずか
chemical, 化学的な
tail, 尻尾
bulb, 球状のもの
door, 扉
industry, 産業
hanging, つりさげ
camera, カメラ
tax, 課税
plane, 平ら
cultivate, 耕す
flag, 旗
middle, 中位
journey, 旅行
coat, コート
wheel, 車輪
after, ～の後に
support, 支える
expert, 専門家
oil, オイル
talk, 話す
monkey, さる
glove, 手袋
fire, 焼く
feeling, 感じ
harbor, 港
road, 道筋
