Eng,Ja
law, 法律
past, 通り越して
sail, 帆
note, 記録
eye, 目
lead, 導く
basin, 洗面器
bright, 明々と
yes, 肯定的な返答
attraction, 魅力
exchange, 取り替える
ink, インク
summer, 夏
shock, ショック
hair, 毛
strong, 力強い
silk, 絹糸
way, 道
coat, コート
now, 今
sound, 鳴る
work, 労働
copy, コピー
so, 現に
off, ～から離れて
color, 色合い
pain, 痛み
shade, 影
good, 良い
force, 勢い
society, 世界
needle, はり
natural, 自然な
cause, 原因
responsible, 責任がある
power, 力
distance, 引き離す
stiff, こわばった
jelly, ゼリー化する
cart, カート
man, 人間
screw, ねじる
still, 静かな
roof, 屋根
walk, 歩く
though, だが
driving, 運転
change, 変質
glass, ガラス
doubt, 怪しむ
