Eng,Ja
circle, 一回り
fixed, 固定した
wise, かしこい才
hand, 手
purpose, 目的
low, 低い
curtain, カーテン
together, 同時に
nerve, 神経
wash, 洗う
position, 場所
white, 白い
again, さらに
design, 計画
event, できごと
fire, 焼く
from, ～から
change, 変質
brother, 兄
substance, 物質
shirt, シャツ
account, 説明
ray, 光線
opposite, 向かい合わせの
metal, メタリック
then, それから
cake, ケーキ
lock, かぎ
snow, 雪が降る
body, 本体
expert, 専門家
growth, 成長
different, 変わった
debt, 負債
hollow, 空っぽな
jump, 跳躍する
little, わずか
view, 視野
president, 大統領
near, ほぼ
self, 自分
watch, 時計
bath, 入浴
level, 水平になる
stitch, ぬい合わせる
hard, 必死に
cheese, チーズ名詞】
relation, 結付き
open, 開いた
leg, 脚
