Eng,Ja
branch, 枝
effect, 結果
wash, 洗う
between, 中間に
very, とても
sad, 残念な
for, ～のために
silver, 銀
sneeze, くしゃみをする
punishment, 処罰
join, 交わる
at, ～に
push, 押す
fall, 落ちる
harmony, 調和
price, 価格
square, 四角
poison, 毒
sleep, 眠る
change, 変質
finger, 指
lead, 導く
against, 反抗して
nation, 国家
hair, 毛
free, 自由な
belief, 印象
left, 左の
collar, エリ
cultivate, 耕す
gold, 黄金
lock, かぎ
expert, 専門家
tree, 木
please, 喜ばせる
present, 現在の
drop, しずく
wound, 負傷
already, すでに
bell, ベル
reward, 報いる
bed, ベッド
shelf, 棚
lip, くちびる
nail, つめ
teaching, 教え
hole, 穴
ship, 船
silk, 絹糸
bad, ひどい
