Eng,Ja
small, 小さい
burn, 燃す
observation, 観測
authority, 権威
rhythm, リズム
to, ～へ
week, 週
about, ～について
statement, 述べる
mountain, 山
agreement, 協定
dry, 乾いた
attack, 攻める
mist, 霧
fight, ファイト
such, こんな
pencil, 鉛筆
wood, 樹木
water, 水
relation, 結付き
snow, 雪が降る
light, 明るい
east, 東
shake, 振る
ant, アリ
feeble, 弱々しい
river, 川
parcel, 小包
metal, メタリック
impulse, 衝動
across, 横切った
chief, 主要な
powder, 粉
lead, 導く
animal, 動物
voice, 声
drink, 飲む
collar, エリ
shame, 恥
land, 土地
station, 駅
discussion, 話し合い
property, 所有物
elastic, 弾力のある
blow, 吹く
beautiful, 美しい
gold, 黄金
orange, オレンジがかった
wire, 針金
nose, 鼻
