Eng,Ja
reward, 報いる
take, 取る
mixed, まざった
bridge, 橋
heart, こころ
minute, 分
sex, 性別
brick, ブロック
every, あらゆる
such, こんな
knot, 結ぶ
touch, タッチ
knowledge, 知識
smell, においがする
wet, ぬれた
letter, 便り
shoe, くつ
then, それから
wrong, 不正確な
silver, 銀
go, 行く
bee, 蜂
burst, 爆発
line, 線
idea, 着想
development, 発展
cheap, 安上がりな
destruction, 撃滅
jump, 跳躍する
attraction, 魅力
spring, 春
clear, 明るい
leg, 脚
board, 板
copy, コピー
though, だが
sign, 記号
chain, くさり
look, 見える
road, 道筋
list, 挙げる
print, 印刷
sail, 帆
fold, 折りたたむ
bite, かみつく
group, 集まり
fixed, 固定した
ball, 球
theory, 理論
around, 周りに
