Eng,Ja
sister, 姉妹
blue, 青い
other, ほかの
late, 遅れた
print, 印刷
say, 言う
collar, エリ
decision, 判断
brush, ブラシ
separate, 分かれた
far, はるかに
copper, 銅
snow, 雪が降る
money, 硬貨
past, 通り越して
limit, 制約
strange, 奇妙な
social, 社会
let, させる
hammer, ハンマー
early, 早い
fear, 恐怖
circle, 一回り
discussion, 話し合い
impulse, 衝動
cow, 牛
power, 力
bell, ベル
burst, 爆発
sky, 空
cruel, 無情な
parallel, 平行な
able, 可能な
silver, 銀
nerve, 神経
possible, ありうる
black, 黒い
root, 根っこ
brick, ブロック
fiction, 作り話
drop, しずく
head, アタマ
kick, 蹴り
open, 開いた
around, 周りに
rest, 休む
also, もまた
mixed, まざった
foot, 足
false, 間違った
