Eng,Ja
religion, 信仰
silver, 銀
example, 見本
paint, 色つけ
drink, 飲む
finger, 指
burst, 爆発
space, スペース
as, 同じように
but, しかし
competition, 競争
substance, 物質
map, 地図
person, 個人
soap, せっけん
ray, 光線
fruit, くだもの
automatic, 自動的な
range, 範囲
hand, 手
bright, 明々と
yesterday, 昨日
committee, コミッティ
pump, 注入する
nation, 国家
again, さらに
secretary, 事務官
boot, ブーツ
blood, 血液
band, しばるもの
true, 正確な
smell, においがする
sea, 海
sand, 砂
natural, 自然な
position, 場所
from, ～から
skirt, スカート
meal, 食事
deep, 深い
room, 部屋
approval, 賛成
red, 赤い
general, 世間一般の
way, 道
crush, 壊れる
berry, ベリー
well, よく
interest, 気晴らし
ice, 氷
