Eng,Ja
gold, 黄金
head, アタマ
good, 良い
curtain, カーテン
error, 間違い
organization, 設立
quick, 素早い
brake, 歯止め
order, 配列
glass, ガラス
impulse, 衝動
thin, 痩せた
direction, 舵取り
respect, 尊敬
screw, ねじる
simple, シンプルな
body, 本体
pleasure, 喜び
present, 現在の
natural, 自然な
south, 南
size, サイズ
bit, かけら
if, もしも
chemical, 化学的な
before, 先に
paste, 貼りつける
egg, 卵
song, 歌
complex, 複雑な
light, 明るい
measure, 計測する
cheese, チーズ名詞】
bee, 蜂
sudden, 急激
division, 分割
girl, 令嬢
space, スペース
against, 反抗して
president, 大統領
plant, 植物
hope, 実現させたいと願う
table, テーブル
sugar, さとう
public, パブリック
line, 線
ant, アリ
off, ～から離れて
dependent, 依存した
clear, 明るい
