Eng,Ja
knife, ナイフ
frame, 骨組み
flag, 旗
may, してもいい
have, 持っている
information, 情報
porter, 運搬人
every, あらゆる
if, もしも
knowledge, 知識
destruction, 撃滅
reading, 読み取り
electric, 電気の
house, 家
same, 同じ
selection, 選択
sand, 砂
now, 今
copper, 銅
bucket, バケツ
sock, ぶん殴る
living, 生きている
crush, 壊れる
hanging, つりさげ
fruit, くだもの
reason, 推論
person, 個人
seem, 見える
than, ～よりも
skin, ひふ
last, 臨終の
enough, 十分
wall, カベ
burn, 燃す
mine, 私の
political, 政治的な
desire, 欲しがる
rain, 雨が降る
cry, めそめそする
street, ストリート
sea, 海
apple, リンゴ
birth, 生みだす
yes, 肯定的な返答
flame, 火炎
natural, 自然な
little, わずか
even, 均等な
pin, ピン
nerve, 神経
