Eng,Ja
island, 島
or, または
to, ～へ
wool, 羊毛
head, アタマ
military, 軍事的な
library, ライブラリ
disease, 不快な状態
fiction, 作り話
among, ～の間に
rhythm, リズム
knife, ナイフ
any, なんらか
town, 町
ship, 船
church, 教会
economic, 経済
all, すべて
bridge, 橋
tail, 尻尾
support, 支える
harbor, 港
twist, ひねる
brown, 茶色い
square, 四角
reading, 読み取り
hate, うらむ
foolish, おろかな
distance, 引き離す
ring, 鳴り響く
sheep, ヒツジ
leaf, 葉っぱ
building, 建設
reason, 推論
flame, 火炎
root, 根っこ
bucket, バケツ
public, パブリック
letter, 便り
goat, 山羊
silver, 銀
pull, 引っぱる
company, 付添い
future, 未来の形容詞】
interest, 気晴らし
flower, 花を咲かす
international, 国際的な
pump, 注入する
far, はるかに
powder, 粉
