Eng,Ja
last, 臨終の
potato, ジャガイモ
hard, 必死に
scale, 目盛り
ill, 不完全な
serious, まじめな
authority, 権威
pump, 注入する
full, いっぱいの
wise, かしこい才
space, スペース
late, 遅れた
material, 実質的
pull, 引っぱる
reason, 推論
iron, 鉄
request, 要求
division, 分割
tree, 木
arch, カーブ
small, 小さい
end, 終える
general, 世間一般の
boot, ブーツ
dead, 枯れた
down, 下に
error, 間違い
crack, ひびわれる
enough, 十分
get, 受け取る
surprise, 驚き
skirt, スカート
wine, ワイン
rough, 荒い
level, 水平になる
low, 低い
star, 星
brake, 歯止め
wheel, 車輪
payment, 入金
thick, 濃い
against, 反抗して
family, 家族
cup, コップ
door, 扉
why, 理由
night, 夜
accordingto, ～によれば
regret, 惜しむ
office, オフィス
