Eng,Ja
sponge, スポンジ
make, 作る
feather, 羽
art, 芸術
will, するつもりだ
scissors, はさみ
law, 法律
common, 共通の
quick, 素早い
yesterday, 昨日
soft, 柔らかな
dress, 衣服
cart, カート
snake, ヘビ
down, 下に
curve, 曲がる
fact, 事実
judge, 判断する
door, 扉
hate, うらむ
trick, いたずら
shake, 振る
solid, 固体の
monkey, さる
order, 配列
tooth, 歯
request, 要求
president, 大統領
through, から
guide, 案内する
committee, コミッティ
bottle, ビン
sleep, 眠る
book, 本
cause, 原因
circle, 一回り
wood, 樹木
approval, 賛成
organization, 設立
smooth, なめらかな
good, 良い
burn, 燃す
floor, 床
regret, 惜しむ
meal, 食事
simple, シンプルな
hole, 穴
white, 白い
daughter, 娘
stitch, ぬい合わせる
