Eng,Ja
drawer, 引き出し
size, サイズ
mind, 気持ち
amusement, 楽しみ
knee, ひざ
angry, 怒った
berry, ベリー
black, 黒い
wise, かしこい才
profit, 得する
female, 牝
smell, においがする
table, テーブル
act, 行動する
start, 開始
reading, 読み取り
lip, くちびる
engine, エンジン
floor, 床
milk, 牛乳
hate, うらむ
make, 作る
across, 横切った
apple, リンゴ
ice, 氷
foot, 足
pin, ピン
man, 人間
far, はるかに
basin, 洗面器
throat, のど
shirt, シャツ
thought, 思索
growth, 成長
living, 生きている
comparison, 比較
love, 愛情
sky, 空
well, よく
prose, 散文
wrong, 不正確な
disease, 不快な状態
weight, 重さ
fall, 落ちる
existence, 存在
mixed, まざった
smoke, 煙を出す
animal, 動物
heat, 暖める
monkey, さる
