Eng,Ja
trade, 交換
angry, 怒った
equal, 等しい
experience, 経験
night, 夜
thing, モノ
cloth, 生地
expansion, 引き伸ばし
copy, コピー
move, 動く
rain, 雨が降る
pain, 痛み
conscious, 気づいて
number, 数
smooth, なめらかな
shoe, くつ
do, する
noise, 騒ぐ
thumb, おやゆび
box, 箱
lift, 持ち上げる
card, カード
news, ニュース
common, 共通の
horse, 馬
regret, 惜しむ
frequent, よくある
rail, 横木
chest, むね
window, ウィンドウ
out, 外に
self, 自分
dress, 衣服
way, 道
straight, まっすぐな
beautiful, 美しい
angle, 角度
fly, 飛ぶ
nuts, 木の実
stem, 茎
kind, 親切な
little, わずか
chief, 主要な
loud, うるさい
fixed, 固定した
bitter, 苦い
all, すべて
only, ただひとり
polish, 磨る
station, 駅
