Eng,Ja
sand, 砂
tin, スズ
mother, 母親
snake, ヘビ
shut, 閉じた
pain, 痛み
fish, 魚
ill, 不完全な
yes, 肯定的な返答
rate, 割合
clean, きれいな
knee, ひざ
rain, 雨が降る
late, 遅れた
against, 反抗して
steel, 鋼鉄
pin, ピン
fertile, 肥えた
word, 言葉
fly, 飛ぶ
ever, つねに
feeble, 弱々しい
suggestion, 提案
breath, 呼吸
trouble, 故障
journey, 旅行
happy, しあわせな
shoe, くつ
separate, 分かれた
neck, 首
into, (入った)中に
secretary, 事務官
seed, たね
enough, 十分
conscious, 気づいて
probable, ありそうな
need, 動機
fold, 折りたたむ
stop, ストップ
seem, 見える
noise, 騒ぐ
though, だが
farm, 農場
experience, 経験
credit, 信用
seat, 着席させる
finger, 指
size, サイズ
parcel, 小包
by, ～のそばで
