Eng,Ja
produce, 生産する
top, てっぺん
fork, フォーク
smile, ほほ笑む
see, 見る
blow, 吹く
pleasure, 喜び
seat, 着席させる
stage, 区間
law, 法律
offer, 提供する
observation, 観測
tooth, 歯
chin, アゴ
such, こんな
common, 共通の
go, 行く
physical, 物理的
question, 問いただす
soap, せっけん
father, 父親
out, 外に
invention, 考案
chemical, 化学的な
wrong, 不正確な
island, 島
basket, かご
there, そこに
power, 力
cough, せき
bee, 蜂
how, 方法
operation, 運転
black, 黒い
baby, ベビー
jewel, 宝石
engine, エンジン
manager, 管理職
curtain, カーテン
thumb, おやゆび
space, スペース
ink, インク
paper, 紙
art, 芸術
bottle, ビン
before, 先に
camera, カメラ
horse, 馬
floor, 床
brick, ブロック
