Eng,Ja
rub, こする
frequent, よくある
bit, かけら
sweet, 優しい
roll, 転がる
sense, 感覚
no, いいえ
disgust, 吐き気を催させる
help, 助ける
range, 範囲
sock, ぶん殴る
wave, 波
soft, 柔らかな
spring, 春
silk, 絹糸
as, 同じように
rhythm, リズム
natural, 自然な
map, 地図
grain, 穀物
doubt, 怪しむ
hate, うらむ
take, 取る
farm, 農場
very, とても
round, まるい
dear, 親愛な
before, 先に
wise, かしこい才
of, ～の
sex, 性別
boat, 小船
bottle, ビン
damage, そこなう
where, 場所
long, 長い
make, 作る
young, 若い
instrument, 器具
fact, 事実
end, 終える
bitter, 苦い
discovery, 発見
how, 方法
language, 言語
elastic, 弾力のある
distance, 引き離す
tail, 尻尾
teaching, 教え
see, 見る
