Eng,Ja
weight, 重さ
opinion, 意見
head, アタマ
poison, 毒
tooth, 歯
pen, ペン
beautiful, 美しい
station, 駅
use, 使う
change, 変質
cry, めそめそする
wash, 洗う
verse, 詩節
news, ニュース
kick, 蹴り
smash, 打ち付ける
feather, 羽
value, 価値
hate, うらむ
comfort, 快適
arch, カーブ
division, 分割
love, 愛情
financial, 財務上の
number, 数
star, 星
grip, 取っ手
cause, 原因
data, データ
swim, 泳ぎ
addition, 付け足し
fold, 折りたたむ
protest, 断言する
jump, 跳躍する
growth, 成長
foot, 足
past, 通り越して
knowledge, 知識
produce, 生産する
tree, 木
sudden, 急激
warm, 暖める
sky, 空
pencil, 鉛筆
watch, 時計
sneeze, くしゃみをする
tired, 疲れた
see, 見る
attack, 攻める
rod, 棒
