Eng,Ja
to, ～へ
sharp, するどい
dead, 枯れた
hook, 鉤
thing, モノ
between, 中間に
mobile, モバイル
tired, 疲れた
way, 道
good, 良い
then, それから
meal, 食事
earth, 地球
brother, 兄
store, 商店
island, 島
bridge, 橋
cup, コップ
safe, 安全な
force, 勢い
sand, 砂
by, ～のそばで
insect, 虫
liquid, 液体
question, 問いただす
power, 力
interest, 気晴らし
harmony, 調和
frame, 骨組み
office, オフィス
medical, 医療
bad, ひどい
electric, 電気の
leg, 脚
frequent, よくある
month, 月
trouble, 故障
root, 根っこ
line, 線
basket, かご
wall, カベ
thought, 思索
machine, 機械
glass, ガラス
complex, 複雑な
tin, スズ
market, 市場
same, 同じ
whip, むち打ち
attempt, 試みる
