Eng,Ja
relation, 結付き
jump, 跳躍する
harbor, 港
roll, 転がる
shut, 閉じた
page, ページ
out, 外に
already, すでに
stamp, スタンプ
view, 視野
cruel, 無情な
stretch, 伸張
slope, 傾ける
measure, 計測する
exchange, 取り替える
verse, 詩節
letter, 便り
join, 交わる
orange, オレンジがかった
card, カード
order, 配列
transport, 運輸
reward, 報いる
humor, ユーモア
loud, うるさい
grip, 取っ手
mine, 私の
sand, 砂
rail, 横木
cake, ケーキ
present, 現在の
harmony, 調和
thread, 糸
free, 自由な
ornament, 装飾
solid, 固体の
awake, 覚めた
attention, 注意
left, 左の
breath, 呼吸
potato, ジャガイモ
poor, 貧乏な
dog, 犬
bell, ベル
accordingto, ～によれば
decision, 判断
weather, 天気
story, 物語
and, ～と
shake, 振る
