Eng,Ja
mouth, 口
wool, 羊毛
thread, 糸
voice, 声
laugh, 笑う
hammer, ハンマー
opposite, 向かい合わせの
snow, 雪が降る
growth, 成長
damage, そこなう
tall, 高い
order, 配列
family, 家族
warm, 暖める
animal, 動物
experience, 経験
match, 試合
year, 年
paste, 貼りつける
military, 軍事的な
tongue, 舌
female, 牝
shirt, シャツ
flower, 花を咲かす
verse, 詩節
woman, 女性
chain, くさり
existence, 存在
front, 正面
come, 訪れる
week, 週
kind, 親切な
owner, 持主
rhythm, リズム
cheese, チーズ名詞】
president, 大統領
punishment, 処罰
table, テーブル
card, カード
complete, 完全な
fly, 飛ぶ
smile, ほほ笑む
amount, 量
key, 鍵
needle, はり
run, 走る
sound, 鳴る
other, ほかの
stretch, 伸張
social, 社会
