Eng,Ja
distribution, 配布
box, 箱
chest, むね
kiss, くちづけ
oven, 天火
safe, 安全な
hook, 鉤
about, ～について
second, 第2に
physical, 物理的
look, 見える
society, 世界
pleasure, 喜び
boot, ブーツ
true, 正確な
cold, 冷たい
now, 今
stop, ストップ
knowledge, 知識
list, 挙げる
equal, 等しい
swim, 泳ぎ
death, 絶命
gray, 灰色の
stone, 石
male, 男性
keep, 保つ
or, または
lip, くちびる
warm, 暖める
behaviour, 行儀
plant, 植物
hospital, 病院
pot, つぼ
play, 遊ぶ
birth, 生みだす
clock, 計時
wall, カベ
country, 国家
gold, 黄金
hollow, 空っぽな
potato, ジャガイモ
off, ～から離れて
produce, 生産する
business, シゴト
road, 道筋
shame, 恥
form, 形姿
love, 愛情
mountain, 山
