Eng,Ja
seed, たね
rule, ルール
political, 政治的な
wall, カベ
front, 正面
attention, 注意
expert, 専門家
probable, ありそうな
transport, 運輸
request, 要求
common, 共通の
form, 形姿
nation, 国家
blue, 青い
invention, 考案
bell, ベル
mine, 私の
range, 範囲
carriage, 乗り物
increase, 増やす
room, 部屋
place, 場所
cheese, チーズ名詞】
slope, 傾ける
motion, 動き
lip, くちびる
produce, 生産する
with, いっしょに
cup, コップ
support, 支える
smash, 打ち付ける
fall, 落ちる
tray, お盆
birth, 生みだす
behaviour, 行儀
pot, つぼ
book, 本
horn, 角
healthy, 健康な
dirty, 汚れた
accordingto, ～によれば
boat, 小船
sand, 砂
credit, 信用
board, 板
arm, 武装
straight, まっすぐな
pipe, パイプ
because, なぜなら
gray, 灰色の
