Eng,Ja
cloth, 生地
young, 若い
around, 周りに
advertisement, アド
room, 部屋
general, 世間一般の
relation, 結付き
brush, ブラシ
direction, 舵取り
country, 国家
pot, つぼ
straight, まっすぐな
earth, 地球
steel, 鋼鉄
private, 秘密の
hand, 手
public, パブリック
but, しかし
walk, 歩く
rail, 横木
air, 空気
as, 同じように
waste, 浪費する
sail, 帆
down, 下に
hospital, 病院
bent, まがった
able, 可能な
stone, 石
cup, コップ
opinion, 意見
wheel, 車輪
sticky, 粘っこい
lift, 持ち上げる
west, 西
look, 見える
help, 助ける
why, 理由
through, から
cotton, 綿
writing, 作文
financial, 財務上の
answer, 答える
picture, 絵
degree, レベル
sense, 感覚
letter, 便り
seed, たね
cook, 炊事する
pencil, 鉛筆
