Eng,Ja
run, 走る
shake, 振る
soft, 柔らかな
stage, 区間
voice, 声
financial, 財務上の
tendency, 傾向
under, ～の下に
transport, 運輸
mother, 母親
observation, 観測
back, 以前に
baby, ベビー
distribution, 配布
ticket, チケット
slow, 遅い
discovery, 発見
stone, 石
necessary, 必然的
by, ～のそばで
important, 重要な
sky, 空
writing, 作文
seed, たね
first, 最初に
meat, 肉
bath, 入浴
learning, 修得
finger, 指
comparison, 比較
industry, 産業
to, ～へ
floor, 床
young, 若い
invention, 考案
safe, 安全な
put, 置く
spring, 春
cover, おおう
cough, せき
engine, エンジン
map, 地図
relation, 結付き
quiet, 静かな
president, 大統領
strange, 奇妙な
direction, 舵取り
substance, 物質
solid, 固体の
field, 野原
