Eng,Ja
political, 政治的な
scale, 目盛り
expert, 専門家
get, 受け取る
gold, 黄金
poor, 貧乏な
false, 間違った
right, 正確な
respect, 尊敬
harmony, 調和
quality, 品質
company, 付添い
than, ～よりも
collar, エリ
brain, 頭脳
knife, ナイフ
selection, 選択
stamp, スタンプ
public, パブリック
sugar, さとう
frequent, よくある
country, 国家
rule, ルール
pig, ぶた
pump, 注入する
fight, ファイト
waiting, 待ち時間
bad, ひどい
eye, 目
ear, 耳
weight, 重さ
competition, 競争
drink, 飲む
star, 星
quiet, 静かな
song, 歌
for, ～のために
little, わずか
hour, 時間
so, 現に
fear, 恐怖
cultivate, 耕す
complex, 複雑な
needle, はり
mother, 母親
stick, ステッキ
till, ～まで
land, 土地
work, 労働
base, 基礎づける
