Eng,Ja
nuts, 木の実
roll, 転がる
society, 世界
theory, 理論
comparison, 比較
if, もしも
twist, ひねる
and, ～と
first, 最初に
basket, かご
angle, 角度
waste, 浪費する
silk, 絹糸
window, ウィンドウ
disease, 不快な状態
walk, 歩く
till, ～まで
destruction, 撃滅
cough, せき
air, 空気
out, 外に
heart, こころ
hole, 穴
print, 印刷
blue, 青い
picture, 絵
sponge, スポンジ
boy, 男の子
camera, カメラ
humor, ユーモア
clean, きれいな
chemical, 化学的な
screw, ねじる
able, 可能な
page, ページ
engine, エンジン
view, 視野
blow, 吹く
solid, 固体の
second, 第2に
into, (入った)中に
cultivate, 耕す
fixed, 固定した
time, 時
so, 現に
writing, 作文
rain, 雨が降る
mouth, 口
hour, 時間
wine, ワイン
