Eng,Ja
night, 夜
education, 教育
accordingto, ～によれば
seem, 見える
bucket, バケツ
waiting, 待ち時間
ink, インク
clock, 計時
edge, 刃
near, ほぼ
mother, 母親
money, 硬貨
work, 労働
man, 人間
end, 終える
meeting, 集まり
frequent, よくある
after, ～の後に
shirt, シャツ
brick, ブロック
detail, 詳しく述べる
table, テーブル
curve, 曲がる
foolish, おろかな
sex, 性別
fly, 飛ぶ
account, 説明
advertisement, アド
belief, 印象
sign, 記号
other, ほかの
dark, 暗い
stretch, 伸張
shut, 閉じた
wide, 幅広い
leaf, 葉っぱ
kind, 親切な
fear, 恐怖
on, うえに
manager, 管理職
mind, 気持ち
strong, 力強い
together, 同時に
round, まるい
fat, 太った
act, 行動する
town, 町
president, 大統領
hearing, 聞くこと
tomorrow, あす
